V1_gene	Annotation_gene	Min_gene_overlap_percent
VIT_04s0023g02650	Vitvi05_01chr04g19270	73.1
VIT_04s0023g02690	Vitvi05_01chr04g19300	89.2
VIT_04s0023g02730	Vitvi05_01chr04g19350	79.8
VIT_04s0023g02810	Vitvi05_01chr04g19480	82.3
VIT_04s0023g02900	Vitvi05_01chr04g19690	81.7
VIT_04s0023g03010	Vitvi05_01chr04g19810	97.2
VIT_04s0023g03130	Vitvi05_01chr04g19930	77.5
VIT_04s0023g03230	Vitvi05_01chr04g20060	53.2
VIT_04s0023g03240	Vitvi05_01chr04g20080	71.5
VIT_04s0023g03510	Vitvi05_01chr04g20440	76.7
VIT_04s0023g03550	Vitvi05_01chr04g20470	67.5
VIT_04s0023g03610	Vitvi05_01chr04g20580	92.9
VIT_04s0023g03650	Vitvi05_01chr04g20640	97
VIT_04s0023g03710	Vitvi05_01chr04g20720	65.3
VIT_04s0023g03810	Vitvi05_01chr04g20830	91.4
VIT_04s0043g00160	Vitvi05_01chr04g13450	70.2
VIT_04s0044g00020	Vitvi05_01chr04g22260	88.8
VIT_04s0044g00040	Vitvi05_01chr04g22300	62.9
VIT_04s0044g00190	Vitvi05_01chr04g22540	62.5
VIT_04s0044g00220	Vitvi05_01chr04g22570	81.9
VIT_04s0044g00530	Vitvi05_01chr04g22950	81.7
VIT_04s0044g00730	Vitvi05_01chr04g23540	98.1
VIT_04s0044g01000	Vitvi05_01chr04g23890	54.5
VIT_04s0044g01100	Vitvi05_01chr04g24010	58
VIT_04s0044g01130	Vitvi05_01chr04g24060	79
VIT_04s0044g01230	Vitvi05_01chr04g24280	84.9
VIT_04s0044g01300	Vitvi05_01chr04g24360	94.9
VIT_04s0044g01310	Vitvi05_01chr04g24370	62.2
VIT_04s0044g01410	Vitvi05_01chr04g24510	52.1
VIT_04s0044g01740	Vitvi05_01chr04g25120	82.3
VIT_04s0044g01760	Vitvi05_01chr04g25140	66.9
VIT_04s0044g01850	Vitvi05_01chr04g25210	81.5
VIT_04s0044g01860	Vitvi05_01chr04g25220	99.8
VIT_04s0044g01870	Vitvi05_01chr04g25240	97.8
VIT_04s0044g01880	Vitvi05_01chr04g25250	56.7
VIT_04s0069g00780	Vitvi05_01chr04g10510	61
VIT_04s0079g00260	Vitvi05_01chr04g11990	98.3
VIT_04s0079g00420	Vitvi05_01chr04g12210	96
VIT_04s0079g00680	Vitvi05_01chr04g12540	83.8
VIT_04s0079g00690	Vitvi05_01chr04g12550	80
VIT_05s0020g00440	Vitvi05_01chr05g03630	88.7
VIT_05s0020g00600	Vitvi05_01chr05g03780	58.5
VIT_05s0020g00680	Vitvi05_01chr05g03850	70.4
VIT_05s0020g00730	Vitvi05_01chr05g03890	66.5
VIT_05s0020g00840	Vitvi05_01chr05g04000	75.3
VIT_05s0020g00930	Vitvi05_01chr05g04080	82.8
VIT_05s0020g00960	Vitvi05_01chr05g04110	71.8
VIT_05s0020g01110	Vitvi05_01chr05g04300	88.7
VIT_05s0020g01140	Vitvi05_01chr05g04340	84
VIT_05s0020g01420	Vitvi05_01chr05g04730	65.6
VIT_05s0020g01530	Vitvi05_01chr05g04850	77.2
VIT_05s0020g01820	Vitvi05_01chr05g05310	66.3
VIT_05s0020g01840	Vitvi05_01chr05g05330	80.4
VIT_05s0020g02130	Vitvi05_01chr05g05720	96.9
VIT_05s0020g02170	Vitvi05_01chr05g05810	67.8
VIT_05s0020g02290	Vitvi05_01chr05g05960	69.8
VIT_05s0020g02480	Vitvi05_01chr05g06190	89.3
VIT_05s0020g02500	Vitvi05_01chr05g06210	75
VIT_05s0020g02690	Vitvi05_01chr05g06470	71.4
VIT_05s0020g02810	Vitvi05_01chr05g06700	80.7
VIT_05s0020g02880	Vitvi05_01chr05g06770	87.9
VIT_05s0020g02890	Vitvi05_01chr05g06790	75.9
VIT_05s0020g03040	Vitvi05_01chr05g06990	94.2
VIT_05s0020g03130	Vitvi05_01chr05g07070	95.1
VIT_05s0020g03140	Vitvi05_01chr05g07090	70.7
VIT_05s0020g03170	Vitvi05_01chr05g07150	70.8
VIT_05s0020g03280	Vitvi05_01chr05g07310	86.8
VIT_05s0020g03320	Vitvi05_01chr05g07370	95.6
VIT_05s0020g03490	Vitvi05_01chr05g07610	90.4
VIT_05s0020g03650	Vitvi05_01chr05g07770	54.3
VIT_05s0020g03860	Vitvi05_01chr05g08050	93.7
VIT_05s0020g03870	Vitvi05_01chr05g08060	95.7
VIT_05s0020g03880	Vitvi05_01chr05g08080	89.8
VIT_05s0020g03970	Vitvi05_01chr05g08160	79
VIT_05s0020g04110	Vitvi05_01chr05g08450	88.5
VIT_05s0020g04130	Vitvi05_01chr05g08480	87.2
VIT_05s0020g04240	Vitvi05_01chr05g08640	95.1
VIT_05s0020g04420	Vitvi05_01chr05g09000	83
VIT_05s0020g04510	Vitvi05_01chr05g09140	67.4
VIT_05s0020g04540	Vitvi05_01chr05g09160	52
VIT_05s0020g04570	Vitvi05_01chr05g09190	73.8
VIT_05s0020g04690	Vitvi05_01chr05g09330	83.4
VIT_05s0020g04780	Vitvi05_01chr05g09450	81.4
VIT_05s0020g04860	Vitvi05_01chr05g09550	77.4
VIT_05s0020g04880	Vitvi05_01chr05g09620	86.6
VIT_05s0029g00390	Vitvi05_01chr05g16590	64
VIT_05s0029g00480	Vitvi05_01chr05g16770	95.2
VIT_05s0029g01000	Vitvi05_01chr05g17800	58.6
VIT_05s0029g01140	Vitvi05_01chr05g18150	87.1
VIT_05s0049g00010	Vitvi05_01chr05g09950	87.1
VIT_05s0049g00120	Vitvi05_01chr05g10070	52.4
VIT_05s0049g00270	Vitvi05_01chr05g10300	62.6
VIT_05s0049g00390	Vitvi05_01chr05g10400	92.2
VIT_05s0049g00420	Vitvi05_01chr05g10440	77.7
VIT_05s0049g00660	Vitvi05_01chr05g10680	96.9
VIT_05s0049g00730	Vitvi05_01chr05g10740	61.6
VIT_05s0049g00740	Vitvi05_01chr05g10750	81.8
VIT_05s0049g00840	Vitvi05_01chr05g10840	82.5
VIT_05s0049g00950	Vitvi05_01chr05g10960	65.7
VIT_05s0049g01020	Vitvi05_01chr05g11030	70.1
VIT_05s0049g01130	Vitvi05_01chr05g11160	97.4
VIT_05s0049g01180	Vitvi05_01chr05g11220	62.1
VIT_05s0049g01320	Vitvi05_01chr05g11490	64.2
VIT_05s0049g01480	Vitvi05_01chr05g11770	95.8
VIT_05s0049g01550	Vitvi05_01chr05g11840	98.1
VIT_05s0049g01760	Vitvi05_01chr05g12040	61.5
VIT_05s0049g01780	Vitvi05_01chr05g12070	82.6
VIT_05s0051g00590	Vitvi05_01chr05g14210	75.9
VIT_05s0062g00240	Vitvi05_01chr05g19370	67.1
VIT_05s0062g00250	Vitvi05_01chr05g19380	70.7
VIT_05s0062g00430	Vitvi05_01chr05g19560	93.3
VIT_05s0062g00480	Vitvi05_01chr05g19600	64.6
VIT_05s0062g00520	Vitvi05_01chr05g19620	62.6
VIT_05s0062g00610	Vitvi05_01chr05g19710	74.4
VIT_05s0062g00630	Vitvi05_01chr05g19740	83.5
VIT_05s0062g00700	Vitvi05_01chr05g19860	64.8
VIT_05s0062g00780	Vitvi05_01chr05g19980	76.4
VIT_05s0062g00810	Vitvi05_01chr05g20010	63.9
VIT_05s0062g00980	Vitvi05_01chr05g20270	62.5
VIT_05s0062g01120	Vitvi05_01chr05g20450	71.7
VIT_05s0062g01190	Vitvi05_01chr05g20580	66.6
VIT_05s0062g01320	Vitvi05_01chr05g20760	63.9
VIT_05s0062g01430	Vitvi05_01chr07g17740	54.2
VIT_05s0077g00170	Vitvi05_01chr05g02840	98.5
VIT_05s0077g00520	Vitvi05_01chr05g02480	94.1
VIT_05s0077g00530	Vitvi05_01chr05g13120	80.2
VIT_05s0077g00540	Vitvi05_01chr05g02460	73.1
VIT_05s0077g00560	Vitvi05_01chr05g02430	88.6
VIT_05s0077g01150	Vitvi05_01chr05g01580	76.3
VIT_05s0077g01250	Vitvi05_01chr05g01430	76.1
VIT_05s0077g01300	Vitvi05_01chr05g01350	86.3
VIT_05s0077g01450	Vitvi05_01chr05g01140	50
VIT_05s0077g01540	Vitvi05_01chr05g01030	50.5
VIT_05s0077g01650	Vitvi05_01chr05g00920	61.1
VIT_05s0077g01720	Vitvi05_01chr05g00840	81.2
VIT_05s0077g01860	Vitvi05_01chr05g00650	77.6
VIT_05s0077g01930	Vitvi05_01chr05g00560	94.5
VIT_05s0077g01980	Vitvi05_01chr05g00500	89
VIT_05s0077g02260	Vitvi05_01chr05g00160	67
VIT_05s0094g00300	Vitvi05_01chr05g24990	88.8
VIT_05s0094g00340	Vitvi05_01chr05g25050	50.8
VIT_05s0094g00360	Vitvi05_01chr05g25080	51
VIT_05s0094g00470	Vitvi05_01chr05g25240	82.4
VIT_05s0094g00930	Vitvi05_01chr05g25860	93.3
VIT_05s0094g01080	Vitvi05_01chr05g26060	88.1
VIT_05s0094g01160	Vitvi05_01chr05g26160	79.3
VIT_05s0094g01250	Vitvi05_01chr05g26200	51.5
VIT_05s0094g01260	Vitvi05_01chr05g26210	68.9
VIT_05s0094g01570	Vitvi05_01chr05g26640	75.1
VIT_05s0094g01590	Vitvi05_01chr05g26650	81.5
VIT_05s0102g00120	Vitvi05_01chr05g22460	90.9
VIT_05s0102g00190	Vitvi05_01chr05g22590	80.1
VIT_05s0102g00310	Vitvi05_01chr05g22740	84.9
VIT_05s0102g00450	Vitvi05_01chr05g22910	58.7
VIT_05s0102g00590	Vitvi05_01chr05g23120	93.2
VIT_05s0102g00600	Vitvi05_01chr05g23130	51.5
VIT_05s0102g00620	Vitvi05_01chr05g23150	54.2
VIT_05s0102g00660	Vitvi05_01chr05g23210	52.5
VIT_05s0102g00710	Vitvi05_01chr05g23320	85.1
VIT_05s0102g00750	Vitvi05_01chr05g23360	81.5
VIT_05s0136g00260	Vitvi05_01chr05g15660	76.8
VIT_06s0004g00130	Vitvi05_01chr06g00340	99.8
VIT_06s0004g00220	Vitvi05_01chr06g00460	80
VIT_06s0004g00260	Vitvi05_01chr06g00500	75.5
VIT_06s0004g00440	Vitvi05_01chr06g00820	69.1
VIT_06s0004g00490	Vitvi05_01chr06g00870	67.9
VIT_06s0004g00590	Vitvi05_01chr06g00980	86.2
VIT_06s0004g00910	Vitvi05_01chr06g01400	78.7
VIT_06s0004g00960	Vitvi05_01chr06g01480	67
VIT_06s0004g00980	Vitvi05_01chr06g01500	57.1
VIT_06s0004g00990	Vitvi05_01chr06g01510	71.9
VIT_06s0004g01010	Vitvi05_01chr06g01530	58.6
VIT_06s0004g01140	Vitvi05_01chr06g01760	97.1
VIT_06s0004g01160	Vitvi05_01chr06g01770	90.2
VIT_06s0004g01250	Vitvi05_01chr06g01920	91.4
VIT_06s0004g01390	Vitvi05_01chr06g02160	71.4
VIT_06s0004g01510	Vitvi05_01chr06g02410	91.2
VIT_06s0004g01640	Vitvi05_01chr06g02610	86.3
VIT_06s0004g01750	Vitvi05_01chr06g02750	83.5
VIT_06s0004g01870	Vitvi05_01chr06g02930	69.3
VIT_06s0004g01890	Vitvi05_01chr06g02970	79.9
VIT_06s0004g01990	Vitvi05_01chr06g03110	95.3
VIT_06s0004g02230	Vitvi05_01chr06g03390	93.5
VIT_06s0004g02370	Vitvi05_01chr06g03670	92.3
VIT_06s0004g02380	Vitvi05_01chr06g03680	86.9
VIT_06s0004g02560	Vitvi05_01chr06g03930	59
VIT_06s0004g02640	Vitvi05_01chr06g04090	69.3
VIT_06s0004g03020	Vitvi05_01chr06g04590	52.3
VIT_06s0004g03130	Vitvi05_01chr06g04710	92.9
VIT_06s0004g03240	Vitvi05_01chr06g04890	72.8
VIT_06s0004g03260	Vitvi05_01chr06g04920	91.5
VIT_06s0004g03690	Vitvi05_01chr06g05620	98.5
VIT_06s0004g04010	Vitvi05_01chr06g06030	76.2
VIT_06s0004g04110	Vitvi05_01chr06g06170	51.7
VIT_06s0004g04130	Vitvi05_01chr06g06190	97.6
VIT_06s0004g04320	Vitvi05_01chr06g06550	91.6
VIT_06s0004g04610	Vitvi05_01chr06g06960	53
VIT_06s0004g04640	Vitvi05_01chr06g06990	59.9
VIT_06s0004g04700	Vitvi05_01chr06g07050	83.9
VIT_06s0004g04860	Vitvi05_01chr06g07290	72.3
VIT_06s0004g05110	Vitvi05_01chr06g07680	75
VIT_06s0004g05180	Vitvi05_01chr06g07770	74.5
VIT_06s0004g05230	Vitvi05_01chr06g07820	89.6
VIT_06s0004g05330	Vitvi05_01chr06g07930	68.4
VIT_06s0004g05380	Vitvi05_01chr06g07980	84.3
VIT_06s0004g05400	Vitvi05_01chr06g08000	83.6
VIT_06s0004g05430	Vitvi05_01chr06g08020	82.9
VIT_06s0004g05680	Vitvi05_01chr06g08370	54.3
VIT_06s0004g05740	Vitvi05_01chr06g08420	72.3
VIT_06s0004g05770	Vitvi05_01chr06g08500	66.8
VIT_06s0004g05780	Vitvi05_01chr06g08510	91.8
VIT_06s0004g05910	Vitvi05_01chr06g08690	75.5
VIT_06s0004g06660	Vitvi05_01chr06g09680	79.6
VIT_06s0004g06790	Vitvi05_01chr06g09820	87.8
VIT_06s0004g06830	Vitvi05_01chr06g09870	93.8
VIT_06s0004g07090	Vitvi05_01chr06g10270	53.3
VIT_06s0004g07230	Vitvi05_01chr06g10450	99.2
VIT_06s0004g07310	Vitvi05_01chr06g10530	78
VIT_06s0004g07550	Vitvi05_01chr06g10940	52.1
VIT_06s0004g07680	Vitvi05_01chr06g11150	70.6
VIT_06s0004g07770	Vitvi05_01chr06g11220	92.9
VIT_06s0004g07790	Vitvi05_01chr06g11280	76.1
VIT_06s0004g07880	Vitvi05_01chr06g11400	60.6
VIT_06s0004g08150	Vitvi05_01chr06g11750	68.1
VIT_06s0004g08210	Vitvi05_01chr06g11850	57.9
VIT_06s0004g08380	Vitvi05_01chr06g12100	53.3
VIT_06s0009g00810	Vitvi05_01chr06g13870	81.6
VIT_06s0009g00980	Vitvi05_01chr06g14240	75.4
VIT_06s0009g01110	Vitvi05_01chr06g14420	51
VIT_06s0009g01140	Vitvi05_01chr06g14530	69.7
VIT_06s0009g01670	Vitvi05_01chr06g15240	98.4
VIT_06s0009g01770	Vitvi05_01chr06g15390	92.4
VIT_06s0009g02020	Vitvi05_01chr06g15730	74.5
VIT_06s0009g02500	Vitvi05_01chr06g16580	66.9
VIT_06s0009g02810	Vitvi05_01chr06g17100	68.2
VIT_06s0009g02880	Vitvi05_01chr06g17510	90.2
VIT_06s0009g02920	Vitvi05_01chr06g17540	93.1
VIT_06s0009g02970	Vitvi05_01chr06g17580	87.8
VIT_06s0009g03120	Vitvi05_01chr06g17730	75.2
VIT_06s0061g00150	Vitvi05_01chr06g18820	52.8
VIT_06s0061g00180	Vitvi05_01chr06g18900	87.7
VIT_06s0061g00280	Vitvi05_01chr06g19080	92.5
VIT_06s0061g00330	Vitvi05_01chr06g19170	75.5
VIT_06s0061g00350	Vitvi05_01chr06g19200	96.9
VIT_06s0061g00440	Vitvi05_01chr06g19320	60
VIT_06s0061g00550	Vitvi05_01chr06g19500	62.8
VIT_06s0061g00670	Vitvi05_01chr06g19640	52.9
VIT_06s0061g00680	Vitvi05_01chr06g19650	76.5
VIT_06s0061g00710	Vitvi05_01chr06g19740	62.7
VIT_06s0061g00730	Vitvi05_01chr06g19770	66.7
VIT_06s0061g00760	Vitvi05_01chr06g19800	60.3
VIT_06s0061g00770	Vitvi05_01chr06g19810	77.5
VIT_06s0061g01110	Vitvi05_01chr06g20330	97.5
VIT_06s0061g01210	Vitvi05_01chr06g20500	95.3
VIT_06s0061g01230	Vitvi05_01chr06g20530	83.2
VIT_06s0061g01290	Vitvi05_01chr06g20590	61.1
VIT_06s0061g01310	Vitvi05_01chr06g20610	93.4
VIT_06s0061g01370	Vitvi05_01chr06g20670	99.5
VIT_06s0061g01380	Vitvi05_01chr06g20690	71.3
VIT_06s0061g01470	Vitvi05_01chr06g20820	89.5
VIT_06s0080g00150	Vitvi05_01chr06g21290	65.9
VIT_06s0080g00320	Vitvi05_01chr06g21470	71.2
VIT_06s0080g00420	Vitvi05_01chr06g21600	66.7
VIT_06s0080g00570	Vitvi05_01chr06g21810	60.7
VIT_06s0080g00660	Vitvi05_01chr06g21980	75
VIT_06s0080g00760	Vitvi05_01chr06g22080	78.1
VIT_06s0080g00920	Vitvi05_01chr06g22400	57.7
VIT_07s0005g00090	Vitvi05_01chr07g04800	77.2
VIT_07s0005g00140	Vitvi05_01chr07g04860	96.4
VIT_07s0005g00170	Vitvi05_01chr07g04900	61.2
VIT_07s0005g00260	Vitvi05_01chr07g05010	95
VIT_07s0005g00280	Vitvi05_01chr07g05030	63.3
VIT_07s0005g00660	Vitvi05_01chr07g05480	67.1
VIT_07s0005g00730	Vitvi05_01chr07g05560	81.6
VIT_07s0005g00830	Vitvi05_01chr07g05690	84.5
VIT_07s0005g00870	Vitvi05_01chr07g05730	96.1
VIT_07s0005g01140	Vitvi05_01chr07g06090	72.3
VIT_07s0005g01210	Vitvi05_01chr07g06160	77.5
VIT_07s0005g01240	Vitvi05_01chr07g06220	67.2
VIT_07s0005g01320	Vitvi05_01chr07g06290	75.5
VIT_07s0005g01340	Vitvi05_01chr07g06310	59.1
VIT_07s0005g01680	Vitvi05_01chr07g06730	75
VIT_07s0005g01700	Vitvi05_01chr07g06780	52.3
VIT_07s0005g01790	Vitvi05_01chr07g06900	85.8
VIT_07s0005g01830	Vitvi05_01chr07g06940	77.4
VIT_07s0005g01970	Vitvi05_01chr07g07080	71.8
VIT_07s0005g02060	Vitvi05_01chr07g07200	64
VIT_07s0005g02120	Vitvi05_01chr07g07260	92
VIT_07s0005g02220	Vitvi05_01chr07g07410	90.4
VIT_07s0005g02410	Vitvi05_01chr07g07670	92.4
VIT_07s0005g02450	Vitvi05_01chr07g07720	70.8
VIT_07s0005g02470	Vitvi05_01chr07g07740	93.7
VIT_07s0005g02590	Vitvi05_01chr07g07860	78.1
VIT_07s0005g02710	Vitvi05_01chr07g08010	91.8
VIT_07s0005g02730	Vitvi05_01chr07g08040	68.5
VIT_07s0005g03340	Vitvi05_01chr07g09050	74.4
VIT_07s0005g03390	Vitvi05_01chr07g09120	71.2
VIT_07s0005g03400	Vitvi05_01chr07g09130	95.4
VIT_07s0005g03410	Vitvi05_01chr07g09140	97.8
VIT_07s0005g03420	Vitvi05_01chr07g09150	58.7
VIT_07s0005g03960	Vitvi05_01chr07g10040	80
VIT_07s0005g04130	Vitvi05_01chr07g10240	95.7
VIT_07s0005g04400	Vitvi05_01chr07g10580	90.4
VIT_07s0005g04890	Vitvi05_01chr07g11230	71.9
VIT_07s0005g04920	Vitvi05_01chr07g11260	58.5
VIT_07s0005g06200	Vitvi05_01chr07g13000	89.1
VIT_07s0005g06520	Vitvi05_01chr07g13520	83.8
VIT_07s0031g00120	Vitvi05_01chr07g27670	94.3
VIT_07s0031g00350	Vitvi05_01chr07g27970	74.4
VIT_07s0031g00480	Vitvi05_01chr07g28100	66.5
VIT_07s0031g00530	Vitvi05_01chr07g28150	57.6
VIT_07s0031g00590	Vitvi05_01chr07g28230	83
VIT_07s0031g00610	Vitvi05_01chr07g28250	80.9
VIT_07s0031g00650	Vitvi05_01chr07g28290	69
VIT_07s0031g00920	Vitvi05_01chr07g28730	68.2
VIT_07s0031g01160	Vitvi05_01chr07g29000	51.1
VIT_07s0031g01680	Vitvi05_01chr07g29700	87.3
VIT_07s0031g01710	Vitvi05_01chr07g29730	80.3
VIT_07s0031g01930	Vitvi05_01chr07g30020	78.8
VIT_07s0031g01980	Vitvi05_01chr07g30110	63.6
VIT_07s0031g02170	Vitvi05_01chr07g30360	79.8
VIT_07s0031g02340	Vitvi05_01chr07g30550	76
VIT_07s0031g02390	Vitvi05_01chr07g30660	97.9
VIT_07s0031g02480	Vitvi05_01chr07g30750	96.6
VIT_07s0031g02550	Vitvi05_01chr07g30900	74.9
VIT_07s0031g02560	Vitvi05_01chr07g30910	90.8
VIT_07s0031g02630	Vitvi05_01chr07g31080	87.9
VIT_07s0031g02950	Vitvi05_01chr07g31690	84.9
VIT_07s0031g03000	Vitvi05_01chr07g31770	94.5
VIT_07s0031g03220	Vitvi05_01chr07g32110	79.9
VIT_07s0095g00550	Vitvi05_01chr07g14580	85.1
VIT_07s0095g00760	Vitvi05_01chr07g14200	90.2
VIT_07s0104g00410	Vitvi05_01chr07g02860	92.1
VIT_07s0104g00420	Vitvi05_01chr07g02870	82.3
VIT_07s0104g00510	Vitvi05_01chr07g02970	92.9
VIT_07s0104g00730	Vitvi05_01chr07g03200	95.2
VIT_07s0104g00790	Vitvi05_01chr07g03290	88.2
VIT_07s0104g00830	Vitvi05_01chr07g03330	62.3
VIT_07s0104g01800	Vitvi05_01chr07g04650	50.6
VIT_07s0104g01820	Vitvi05_01chr07g04670	63.6
VIT_07s0104g01830	Vitvi05_01chr07g04680	66.7
VIT_07s0129g00100	Vitvi05_01chr07g26370	86
VIT_07s0129g00200	Vitvi05_01chr07g26410	53.6
VIT_07s0129g00210	Vitvi05_01chr07g26430	79.7
VIT_07s0129g00240	Vitvi05_01chr07g26470	62.2
VIT_07s0129g00250	Vitvi05_01chr07g26480	58
VIT_07s0129g00290	Vitvi05_01chr07g26550	95
VIT_07s0129g00310	Vitvi05_01chr07g26570	100
VIT_07s0129g00330	Vitvi05_01chr07g26590	68.9
VIT_07s0129g00490	Vitvi05_01chr07g26800	77.5
VIT_07s0129g00560	Vitvi05_01chr07g26910	56.4
VIT_07s0129g00580	Vitvi05_01chr07g26930	70.7
VIT_07s0129g00660	Vitvi05_01chr07g26990	53.5
VIT_07s0129g00730	Vitvi05_01chr07g27060	79.3
VIT_07s0129g00790	Vitvi05_01chr07g27130	67.1
VIT_07s0129g00870	Vitvi05_01chr07g27230	86.7
VIT_07s0129g00960	Vitvi05_01chr07g27320	68.3
VIT_07s0129g00970	Vitvi05_01chr07g27350	79.2
VIT_07s0129g01090	Vitvi05_01chr07g27500	79.4
VIT_07s0141g00360	Vitvi05_01chr07g00670	80.5
VIT_07s0141g00520	Vitvi05_01chr07g19020	73.3
VIT_07s0141g00590	Vitvi05_01chr07g00420	85.2
VIT_07s0151g00340	Vitvi05_01chr07g01710	90
VIT_07s0151g00640	Vitvi05_01chr07g01900	80.3
VIT_07s0151g00760	Vitvi05_01chr07g01990	60.6
VIT_07s0151g01070	Vitvi05_01chr07g02330	90.9
VIT_07s0185g00050	Vitvi05_01chr07g15340	73.7
VIT_07s0197g00060	Vitvi05_01chr07g22110	71.7
VIT_08s0007g00410	Vitvi05_01chr08g13830	51.9
VIT_08s0007g00440	Vitvi05_01chr08g13860	77.6
VIT_08s0007g00470	Vitvi05_01chr08g13890	90.4
VIT_08s0007g00610	Vitvi05_01chr08g14020	80.2
VIT_08s0007g00780	Vitvi05_01chr08g14220	56.9
VIT_08s0007g00840	Vitvi05_01chr08g14280	58.3
VIT_08s0007g00980	Vitvi05_01chr08g14410	78.4
VIT_08s0007g01040	Vitvi05_01chr08g14460	85.5
VIT_08s0007g01110	Vitvi05_01chr08g14550	58.1
VIT_08s0007g01120	Vitvi05_01chr08g14560	100
VIT_08s0007g01300	Vitvi05_01chr08g14820	64.9
VIT_08s0007g01350	Vitvi05_01chr08g14920	79.5
VIT_08s0007g01490	Vitvi05_01chr08g15120	51.1
VIT_08s0007g01520	Vitvi05_01chr08g15150	94.3
VIT_08s0007g01530	Vitvi05_01chr08g15160	78.1
VIT_08s0007g01560	Vitvi05_01chr08g15190	54.3
VIT_08s0007g01570	Vitvi05_01chr08g15200	74.8
VIT_08s0007g01630	Vitvi05_01chr08g15280	70
VIT_08s0007g01650	Vitvi05_01chr08g15340	87.5
VIT_08s0007g01810	Vitvi05_01chr08g15530	85.4
VIT_08s0007g01930	Vitvi05_01chr08g15690	81.8
VIT_08s0007g02000	Vitvi05_01chr08g15780	83.8
VIT_08s0007g02020	Vitvi05_01chr08g15800	91.8
VIT_08s0007g02030	Vitvi05_01chr08g15900	69.9
VIT_08s0007g02190	Vitvi05_01chr08g16090	53.6
VIT_08s0007g02240	Vitvi05_01chr08g16150	80.7
VIT_08s0007g02290	Vitvi05_01chr08g16260	69
VIT_08s0007g02440	Vitvi05_01chr08g16550	80.1
VIT_08s0007g02470	Vitvi05_01chr08g16620	63.5
VIT_08s0007g03040	Vitvi05_01chr08g17270	69.1
VIT_08s0007g03110	Vitvi05_01chr08g17350	84.8
VIT_08s0007g03240	Vitvi05_01chr08g17500	68.4
VIT_08s0007g03630	Vitvi05_01chr08g17980	51.1
VIT_08s0007g03670	Vitvi05_01chr08g18050	97
VIT_08s0007g03690	Vitvi05_01chr08g18070	73.6
VIT_08s0007g03710	Vitvi05_01chr08g18100	87.1
VIT_08s0007g03820	Vitvi05_01chr08g18210	62.2
VIT_08s0007g03990	Vitvi05_01chr08g18440	85
VIT_08s0007g04180	Vitvi05_01chr08g18660	89.1
VIT_08s0007g04240	Vitvi05_01chr08g18740	80.1
VIT_08s0007g04340	Vitvi05_01chr08g18840	91.4
VIT_08s0007g04510	Vitvi05_01chr08g19040	89.4
VIT_08s0007g04550	Vitvi05_01chr08g19080	79.4
VIT_08s0007g04770	Vitvi05_01chr08g19440	60.6
VIT_08s0007g04800	Vitvi05_01chr08g19490	90.3
VIT_08s0007g04950	Vitvi05_01chr08g19690	51.5
VIT_08s0007g05000	Vitvi05_01chr08g19740	74.9
VIT_08s0007g05010	Vitvi05_01chr08g19750	91.1
VIT_08s0007g05060	Vitvi05_01chr08g19860	83.8
VIT_08s0007g05210	Vitvi05_01chr08g20040	82.9
VIT_08s0007g05540	Vitvi05_01chr08g20400	89.7
VIT_08s0007g05580	Vitvi05_01chr08g20460	82.8
VIT_08s0007g05860	Vitvi05_01chr08g20890	81.4
VIT_08s0007g05940	Vitvi05_01chr08g21020	89.5
VIT_08s0007g06040	Vitvi05_01chr08g21100	52
VIT_08s0007g06060	Vitvi05_01chr08g21110	50.5
VIT_08s0007g06200	Vitvi05_01chr08g21420	84.7
VIT_08s0007g06430	Vitvi05_01chr08g21720	82.1
VIT_08s0007g06520	Vitvi05_01chr08g21820	53.5
VIT_08s0007g06820	Vitvi05_01chr08g22180	90.8
VIT_08s0007g06960	Vitvi05_01chr08g22310	55
VIT_08s0007g07000	Vitvi05_01chr08g22350	84.9
VIT_08s0007g07270	Vitvi05_01chr08g22660	85.2
VIT_08s0007g07400	Vitvi05_01chr08g22800	72.8
VIT_08s0007g07480	Vitvi05_01chr08g22880	82.3
VIT_08s0007g07550	Vitvi05_01chr08g22950	52.9
VIT_08s0007g07640	Vitvi05_01chr08g23070	60.9
VIT_08s0007g07690	Vitvi05_01chr08g23110	63.6
VIT_08s0007g07720	Vitvi05_01chr08g23150	55.1
VIT_08s0007g07920	Vitvi05_01chr08g23400	86.2
VIT_08s0007g07990	Vitvi05_01chr08g23480	75.1
VIT_08s0007g08010	Vitvi05_01chr08g23500	84.8
VIT_08s0007g08020	Vitvi05_01chr08g23520	84.5
VIT_08s0007g08030	Vitvi05_01chr08g23540	55.8
VIT_08s0007g08310	Vitvi05_01chr08g23880	81.6
VIT_08s0007g08330	Vitvi05_01chr08g23900	71.5
VIT_08s0007g08470	Vitvi05_01chr08g24110	81.8
VIT_08s0007g08540	Vitvi05_01chr08g24250	90.1
VIT_08s0007g08680	Vitvi05_01chr08g24410	68
VIT_08s0007g08840	Vitvi05_01chr08g24570	90.1
VIT_08s0032g00240	Vitvi05_01chr08g02820	75.7
VIT_08s0032g00470	Vitvi05_01chr08g03140	91.3
VIT_08s0032g00910	Vitvi05_01chr08g03820	81.2
VIT_08s0032g01110	Vitvi05_01chr08g04310	89.2
VIT_08s0040g00150	Vitvi05_01chr08g08740	78.4
