"Module"	"Gene"	"V3_gene"	"V5_gene"	"V3_all_term_ids"	"V3_all_term_names"	"V5_all_term_ids"	"V5_all_term_names"	"V3_Pfam"	"V3_PANTHER"	"V5_Pfam"	"V5_PANTHER"	"V5_Chr"	"V5_GeneStart"	"V5_GeneEnd"
"M2"	"VIT_19s0014g00450"	"Vitvi19g00041"	"Vitvi05_01chr19g00700"	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF14416 ('PMR5 N terminal Domain-Trichome birefringence-like, N-terminal domain', '5.8E-19', 'Pfam'); PF13839 ('GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p-Trichome birefringence-like, C-terminal domain', '9.1E-92', 'Pfam')"	"PTHR32285 ('PROTEIN TRICHOME BIREFRINGENCE-LIKE 9-RELATED-Trichome birefringence-like family', '4.5E-121', 'PANTHER')"	"PF14416 ('PMR5 N terminal Domain-Trichome birefringence-like, N-terminal domain', '5.8E-19', 'Pfam'); PF13839 ('GDSL/SGNH-like Acyl-Esterase family found in Pmr5 and Cas1p-Trichome birefringence-like, C-terminal domain', '9.1E-92', 'Pfam')"	"PTHR32285 ('PROTEIN TRICHOME BIREFRINGENCE-LIKE 9-RELATED-Trichome birefringence-like family', '4.5E-121', 'PANTHER')"	"chr19"	497188	501261
"M2"	"VIT_03s0038g04700"	"Vitvi03g00310"	"Vitvi05_01chr03g05230"	"50; 50.1; 50.1.3"	"Enzyme classification; Enzyme classification.EC_1 oxidoreductases; Enzyme classification.EC_1 oxidoreductases.EC_1.3 oxidoreductase acting on CH-CH group of donor"	"50; 50.1; 50.1.3; 9; 9.2; 9.2.2; 9.2.2.9; 9.2.2.9.3"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_1 oxidoreductases; mapman:Enzyme classification.EC_1 oxidoreductases.EC_1-3 oxidoreductase acting on CH-CH group of donor; mapman:Secondary metabolism; mapman:Secondary metabolism.phenolics; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.isoflavonoids; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.isoflavonoids.isoflavone reductase"	"PF05368 ('NmrA-like family-NmrA-like domain', '7.6E-78', 'Pfam')"	"PTHR43349 ('PINORESINOL REDUCTASE-RELATED-NmrA-type oxidoreductase, Isoflavone reductase subfamily', '0.0', 'PANTHER')"	"PF05368 ('NmrA-like family-NmrA-like domain', '7.6E-78', 'Pfam')"	"PTHR43349 ('PINORESINOL REDUCTASE-RELATED-NmrA-type oxidoreductase, Isoflavone reductase subfamily', '0.0', 'PANTHER')"	"chr03"	3426332	3430407
"M2"	"VIT_19s0015g02690"	"Vitvi19g02149"	NA	"18; 18.8; 18.8.1; 18.8.1.4"	"Protein modification; Protein modification.S-glutathionylation; Protein modification.S-glutathionylation.glutathione S-transferase activities; Protein modification.S-glutathionylation.glutathione S-transferase activities.class tau glutathione S-transferase"	""	""	"PF02798 ('Glutathione S-transferase, N-terminal domain-Glutathione S-transferase, N-terminal', '2.5E-17', 'Pfam')"	"PTHR11260 ('GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING-Glutathione S-transferase Omega/Tau-like', '1.2E-52', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_07s0129g00160"	NA	NA	""	""	""	""	NA	NA	NA	NA	NA	NA	NA
"M2"	"VIT_07s0104g00150"	"Vitvi07g02138"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	"PTHR33982 ('OUTER ENVELOPE MEMBRANE PROTEIN 7-RELATED-Outer envelope membrane protein 7-like', '5.4E-20', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_01s0010g03810"	"Vitvi01g01668"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	""	NA	NA	NA	NA	NA
"M2"	"VIT_13s0147g00110"	"Vitvi13g00918"	NA	"1; 1.1; 1.1.5; 1.1.5.1"	"Photosynthesis; Photosynthesis.photophosphorylation; Photosynthesis.photophosphorylation.linear electron flow; Photosynthesis.photophosphorylation.linear electron flow.ferredoxin electron carrier"	""	""	"PF00111 ('2Fe-2S iron-sulfur cluster binding domain-2Fe-2S ferredoxin-type iron-sulfur binding domain', '2.4E-18', 'Pfam')"	"PTHR43112 ('FERREDOXIN', '7.4E-51', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_14s0006g00180"	"Vitvi14g00772"	"Vitvi05_01chr14g12410"	"19; 19.4; 19.4.3; 19.4.3.1"	"Protein homeostasis; Protein homeostasis.proteolysis; Protein homeostasis.proteolysis.aspartic-type peptidase activities; Protein homeostasis.proteolysis.aspartic-type peptidase activities.A1-class protease (Pepsin)"	"19; 19.4; 19.4.3; 19.4.3.1"	"mapman:Protein homeostasis; mapman:Protein homeostasis.proteolysis; mapman:Protein homeostasis.proteolysis.aspartic peptidase activities; mapman:Protein homeostasis.proteolysis.aspartic peptidase activities.Pepsin-type protease"	"PF14543 ('Xylanase inhibitor N-terminal-Xylanase inhibitor, N-terminal', '4.8E-30', 'Pfam'); PF14541 ('Xylanase inhibitor C-terminal-Xylanase inhibitor, C-terminal', '5.8E-30', 'Pfam')"	"PTHR47965 ('ASPARTYL PROTEASE-RELATED-Aspartic peptidase A1 family', '5.7E-66', 'PANTHER')"	"PF14543 ('Xylanase inhibitor N-terminal-Xylanase inhibitor, N-terminal', '4.8E-30', 'Pfam'); PF14541 ('Xylanase inhibitor C-terminal-Xylanase inhibitor, C-terminal', '5.8E-30', 'Pfam')"	"PTHR47965 ('ASPARTYL PROTEASE-RELATED-Aspartic peptidase A1 family', '5.7E-66', 'PANTHER')"	"chr14"	13322596	13324834
"M2"	"VIT_13s0067g02410"	"Vitvi13g02281"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	""	NA	NA	NA	NA	NA
"M2"	"VIT_00s0160g00120"	"Vitvi07g02831"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	""	NA	NA	NA	NA	NA
"M2"	"VIT_03s0017g00650"	"Vitvi03g01092"	"Vitvi05_01chr03g17080"	"7; 7.10; 7.10.2"	"Coenzyme metabolism; Coenzyme metabolism.FMN/FAD biosynthesis; Coenzyme metabolism.FMN/FAD biosynthesis.bifunctional GTP cyclohydrolase II (RibA) and DHBP synthase (RibB)"	"50; 50.3; 50.3.5; 7; 7.10; 7.10.3"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_3 hydrolases; mapman:Enzyme classification.EC_3 hydrolases.EC_3-5 hydrolase acting on carbon-nitrogen bond, other than peptide bond; mapman:Coenzyme metabolism; mapman:Coenzyme metabolism.FMN/FAD biosynthesis; mapman:Coenzyme metabolism.FMN/FAD biosynthesis.bifunctional GTP cyclohydrolase II *(RibA) and DHBP synthase *(RibB)"	"PF00926 ('3,4-dihydroxy-2-butanone 4-phosphate synthase-3,4-dihydroxy-2-butanone 4-phosphate synthase, RibB', '1.1E-82', 'Pfam'); PF00925 ('GTP cyclohydrolase II-GTP cyclohydrolase II', '3.9E-67', 'Pfam')"	"PTHR21327 ('GTP CYCLOHYDROLASE II-RELATED', '0.0', 'PANTHER')"	"PF00926 ('3,4-dihydroxy-2-butanone 4-phosphate synthase-3,4-dihydroxy-2-butanone 4-phosphate synthase, RibB', '1.5E-82', 'Pfam'); PF00925 ('GTP cyclohydrolase II-GTP cyclohydrolase II', '5.2E-67', 'Pfam')"	"PTHR21327 ('GTP CYCLOHYDROLASE II-RELATED', '0.0', 'PANTHER')"	"chr03"	17418843	17425926
"M2"	"VIT_01s0127g00590"	"Vitvi01g02061"	"Vitvi05_01chr01g11190"	"10; 10.6; 10.6.3"	"Redox homeostasis; Redox homeostasis.cytosol/mitochondrion/nucleus redox homeostasis; Redox homeostasis.cytosol/mitochondrion/nucleus redox homeostasis.nucleoredoxin"	"10; 10.3; 10.3.3; 10.3.3.10; 50; 50.1; 50.1.8"	"mapman:Redox homeostasis; mapman:Redox homeostasis.thiol-based redox regulation; mapman:Redox homeostasis.thiol-based redox regulation.thioredoxin activities; mapman:Redox homeostasis.thiol-based redox regulation.thioredoxin activities.nucleoredoxin *(NRX); mapman:Enzyme classification; mapman:Enzyme classification.EC_1 oxidoreductases; mapman:Enzyme classification.EC_1 oxidoreductases.EC_1-8 oxidoreductase acting on sulfur group of donor"	"PF13905 ('Thioredoxin-like-Thioredoxin-like fold', '4.8E-21', 'Pfam'); PF13905 ('Thioredoxin-like-Thioredoxin-like fold', '1.5E-20', 'Pfam'); PF13905 ('Thioredoxin-like-Thioredoxin-like fold', '3.4E-22', 'Pfam'); PF03107 ('C1 domain-DC1', '2.4E-4', 'Pfam')"	"PTHR13871 ('THIOREDOXIN-Nucleoredoxin-like', '0.0', 'PANTHER')"	"PF13905 ('Thioredoxin-like-Thioredoxin-like fold', '1.5E-20', 'Pfam'); PF13905 ('Thioredoxin-like-Thioredoxin-like fold', '8.0E-21', 'Pfam'); PF13905 ('Thioredoxin-like-Thioredoxin-like fold', '4.8E-21', 'Pfam'); PF03107 ('C1 domain-DC1', '2.4E-4', 'Pfam'); PF13905 ('Thioredoxin-like-Thioredoxin-like fold', '2.5E-21', 'Pfam'); PF13905 ('Thioredoxin-like-Thioredoxin-like fold', '3.4E-22', 'Pfam')"	"PTHR13871 ('THIOREDOXIN-Nucleoredoxin-like', '9.0E-161', 'PANTHER'); PTHR13871 ('THIOREDOXIN-Nucleoredoxin-like', '0.0', 'PANTHER')"	"chr01"	8288290	8291661
"M2"	"VIT_01s0011g06460"	NA	NA	""	""	""	""	NA	NA	NA	NA	NA	NA	NA
"M2"	"VIT_13s0019g00860"	"Vitvi13g00278"	"Vitvi05_01chr13g04160"	"19; 19.1; 19.1.8; 19.1.8.10"	"Protein homeostasis; Protein homeostasis.protein quality control; Protein homeostasis.protein quality control.smallHsp holdase chaperone activities; Protein homeostasis.protein quality control.smallHsp holdase chaperone activities.class-PX protein"	"19; 19.1; 19.1.8; 19.1.8.10"	"mapman:Protein homeostasis; mapman:Protein homeostasis.protein quality control; mapman:Protein homeostasis.protein quality control.smallHsp holdase chaperone activities; mapman:Protein homeostasis.protein quality control.smallHsp holdase chaperone activities.class-PX protein"	"PF00011 ('Hsp20/alpha crystallin family-Alpha crystallin/Hsp20 domain', '2.2E-20', 'Pfam')"	"PTHR11527 ('HEAT-SHOCK PROTEIN 20 FAMILY MEMBER-Small heat shock protein', '3.4E-32', 'PANTHER')"	"PF00011 ('Hsp20/alpha crystallin family-Alpha crystallin/Hsp20 domain', '2.2E-20', 'Pfam'); PF00011 ('Hsp20/alpha crystallin family-Alpha crystallin/Hsp20 domain', '1.6E-16', 'Pfam')"	"PTHR11527 ('HEAT-SHOCK PROTEIN 20 FAMILY MEMBER-Small heat shock protein', '3.4E-32', 'PANTHER'); PTHR11527 ('HEAT-SHOCK PROTEIN 20 FAMILY MEMBER-Small heat shock protein', '3.3E-27', 'PANTHER')"	"chr13"	2776947	2777927
"M2"	"VIT_03s0038g04680"	"Vitvi03g01489"	"Vitvi05_01chr03g05200"	"50; 50.1; 50.1.3"	"Enzyme classification; Enzyme classification.EC_1 oxidoreductases; Enzyme classification.EC_1 oxidoreductases.EC_1.3 oxidoreductase acting on CH-CH group of donor"	"50; 50.1; 50.1.3; 9; 9.2; 9.2.2; 9.2.2.9; 9.2.2.9.3"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_1 oxidoreductases; mapman:Enzyme classification.EC_1 oxidoreductases.EC_1-3 oxidoreductase acting on CH-CH group of donor; mapman:Secondary metabolism; mapman:Secondary metabolism.phenolics; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.isoflavonoids; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.isoflavonoids.isoflavone reductase"	"PF05368 ('NmrA-like family-NmrA-like domain', '1.6E-78', 'Pfam')"	"PTHR43349 ('PINORESINOL REDUCTASE-RELATED-NmrA-type oxidoreductase, Isoflavone reductase subfamily', '0.0', 'PANTHER')"	"PF05368 ('NmrA-like family-NmrA-like domain', '1.6E-78', 'Pfam')"	"PTHR43349 ('PINORESINOL REDUCTASE-RELATED-NmrA-type oxidoreductase, Isoflavone reductase subfamily', '0.0', 'PANTHER')"	"chr03"	3404924	3408462
"M2"	"VIT_04s0023g02810"	"Vitvi04g01402"	"Vitvi05_01chr04g19480"	"50; 50.1; 50.1.2"	"Enzyme classification; Enzyme classification.EC_1 oxidoreductases; Enzyme classification.EC_1 oxidoreductases.EC_1.2 oxidoreductase acting on aldehyde or oxo group of donor"	"50; 50.1; 50.1.2"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_1 oxidoreductases; mapman:Enzyme classification.EC_1 oxidoreductases.EC_1-2 oxidoreductase acting on aldehyde or oxo group of donor"	"PF00171 ('Aldehyde dehydrogenase family-Aldehyde dehydrogenase domain', '3.5E-74', 'Pfam')"	"PTHR43570 ('ALDEHYDE DEHYDROGENASE-Aldehyde dehydrogenase NAD(P)-dependent', '0.0', 'PANTHER')"	"PF00171 ('Aldehyde dehydrogenase family-Aldehyde dehydrogenase domain', '3.5E-74', 'Pfam')"	"PTHR43570 ('ALDEHYDE DEHYDROGENASE-Aldehyde dehydrogenase NAD(P)-dependent', '0.0', 'PANTHER')"	"chr04"	20824729	20828755
"M2"	"VIT_18s0164g00100"	"Vitvi18g01438"	"Vitvi05_01chr18g21090"	"50; 50.1; 50.1.10"	"Enzyme classification; Enzyme classification.EC_1 oxidoreductases; Enzyme classification.EC_1 oxidoreductases.EC_1.10 oxidoreductase acting on diphenol or related substance as donor"	"50; 50.1; 50.1.10"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_1 oxidoreductases; mapman:Enzyme classification.EC_1 oxidoreductases.EC_1-10 oxidoreductase acting on diphenol or related substance as donor"	"PF07731 ('Multicopper oxidase-Multicopper oxidase, C-terminal', '2.4E-37', 'Pfam'); PF07732 ('Multicopper oxidase-Multicopper oxidase-like, N-terminal', '1.4E-35', 'Pfam'); PF00394 ('Multicopper oxidase-Multicopper oxidase, second cupredoxin domain', '1.2E-34', 'Pfam')"	"PTHR11709 ('MULTI-COPPER OXIDASE-Multicopper oxidase', '0.0', 'PANTHER')"	"PF07731 ('Multicopper oxidase-Multicopper oxidase, C-terminal', '2.4E-37', 'Pfam'); PF07732 ('Multicopper oxidase-Multicopper oxidase-like, N-terminal', '1.4E-35', 'Pfam'); PF00394 ('Multicopper oxidase-Multicopper oxidase, second cupredoxin domain', '1.2E-34', 'Pfam')"	"PTHR11709 ('MULTI-COPPER OXIDASE-Multicopper oxidase', '0.0', 'PANTHER')"	"chr18"	18835147	18840191
"M2"	"VIT_04s0008g01580"	"Vitvi04g01802"	NA	"19; 19.1; 19.1.8; 19.1.8.2"	"Protein homeostasis; Protein homeostasis.protein quality control; Protein homeostasis.protein quality control.smallHsp holdase chaperone activities; Protein homeostasis.protein quality control.smallHsp holdase chaperone activities.class-C-II protein"	""	""	"PF00011 ('Hsp20/alpha crystallin family-Alpha crystallin/Hsp20 domain', '3.2E-28', 'Pfam')"	"PTHR11527 ('HEAT-SHOCK PROTEIN 20 FAMILY MEMBER-Small heat shock protein', '1.5E-52', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_12s0057g00420"	"Vitvi12g00649"	"Vitvi05_01chr12g10440"	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF04526 ('Protein of unknown function (DUF568)-AIR12, DOMON domain', '4.2E-21', 'Pfam'); PF03188 ('Eukaryotic cytochrome b561-Cytochrome b561/ferric reductase transmembrane', '6.8E-4', 'Pfam')"	"PTHR23130 ('CYTOCHROME B561 AND DOMON DOMAIN-CONTAINING PROTEIN', '8.9E-129', 'PANTHER')"	"PF04526 ('Protein of unknown function (DUF568)-AIR12, DOMON domain', '4.2E-21', 'Pfam'); PF03188 ('Eukaryotic cytochrome b561-Cytochrome b561/ferric reductase transmembrane', '6.8E-4', 'Pfam')"	"PTHR23130 ('CYTOCHROME B561 AND DOMON DOMAIN-CONTAINING PROTEIN', '8.9E-129', 'PANTHER')"	"chr12"	8793247	8795219
"M2"	"VIT_14s0108g00740"	"Vitvi14g03084"	NA	"11; 11.10; 11.10.2; 11.10.2.1; 11.10.2.1.1"	"Phytohormone action; Phytohormone action.signalling peptides; Phytohormone action.signalling peptides.CRP (cysteine-rich-peptide) category; Phytohormone action.signalling peptides.CRP (cysteine-rich-peptide) category.GASA/GAST-peptide activity; Phytohormone action.signalling peptides.CRP (cysteine-rich-peptide) category.GASA/GAST-peptide activity.GASA-precursor polypeptide"	""	""	"PF02704 ('Gibberellin regulated protein-Gibberellin regulated protein', '4.1E-19', 'Pfam')"	"PTHR23201 ('EXTENSIN, PROLINE-RICH PROTEIN', '7.4E-22', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_19s0014g05360"	"Vitvi19g01988"	NA	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF08646 ('Replication factor-A C terminal domain-Replication factor A, C-terminal', '7.9E-18', 'Pfam')"	"PTHR23273 ('REPLICATION FACTOR A 1, RFA1-Replication factor A protein 1', '8.6E-13', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_10s0003g00410"	"Vitvi10g00509"	"Vitvi05_01chr10g09130"	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF03094 ('Mlo family-Mlo-related protein', '2.8E-33', 'Pfam'); PF03094 ('Mlo family-Mlo-related protein', '0.0', 'Pfam')"	"PTHR31942 ('MLO-LIKE PROTEIN 1-Mlo-related protein', '0.0', 'PANTHER')"	"PF03094 ('Mlo family-Mlo-related protein', '2.8E-33', 'Pfam'); PF03094 ('Mlo family-Mlo-related protein', '0.0', 'Pfam')"	"PTHR31942 ('MLO-LIKE PROTEIN 1-Mlo-related protein', '0.0', 'PANTHER')"	"chr10"	6799263	6804178
"M2"	"VIT_19s0014g05370"	"Vitvi19g01989"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	""	NA	NA	NA	NA	NA
"M2"	"VIT_14s0068g00160"	"Vitvi14g02930"	"Vitvi05_01chr14g20700"	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	""	""	""	"chr14"	23767745	23768539
"M2"	"VIT_00s0160g00280"	"Vitvi07g02817"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	""	NA	NA	NA	NA	NA
"M2"	"VIT_02s0154g00580"	"Vitvi02g01449"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	"PTHR38925 ('PROTEIN, PUTATIVE-RELATED', '1.5E-41', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_00s0483g00030"	NA	NA	""	""	""	""	NA	NA	NA	NA	NA	NA	NA
"M2"	"VIT_19s0014g05380"	"Vitvi19g01990"	NA	"50; 50.1; 50.1.6"	"Enzyme classification; Enzyme classification.EC_1 oxidoreductases; Enzyme classification.EC_1 oxidoreductases.EC_1.6 oxidoreductase acting on NADH or NADPH"	""	""	"PF07992 ('Pyridine nucleotide-disulphide oxidoreductase-FAD/NAD(P)-binding domain', '0.0022', 'Pfam')"	"PTHR43557 ('APOPTOSIS-INDUCING FACTOR 1-FAD-dependent Oxidoreductases and Apoptosis Regulators', '3.0E-23', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_03s0063g01960"	"Vitvi03g01517"	"Vitvi05_01chr03g06270"	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF00042 ('Globin-Globin', '2.6E-19', 'Pfam')"	"PTHR22924 ('LEGHEMOGLOBIN-RELATED-Leghaemoglobin-like', '1.9E-80', 'PANTHER')"	"PF00042 ('Globin-Globin', '2.6E-19', 'Pfam')"	"PTHR22924 ('LEGHEMOGLOBIN-RELATED-Leghaemoglobin-like', '1.9E-80', 'PANTHER')"	"chr03"	4159470	4161531
"M2"	"VIT_19s0085g00660"	"Vitvi19g02349"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	""	NA	NA	NA	NA	NA
"M2"	"VIT_16s0039g02350"	"Vitvi16g01548"	NA	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	""	""	NA	NA	NA	NA	NA
"M2"	"VIT_03s0063g00810"	"Vitvi03g00481"	"Vitvi05_01chr03g07740"	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF07859 ('alpha/beta hydrolase fold-Alpha/beta hydrolase fold-3', '1.7E-41', 'Pfam')"	"PTHR23024 ('ARYLACETAMIDE DEACETYLASE-Diverse Carboxylesterases and Gibberellin Receptors', '7.0E-75', 'PANTHER')"	"PF07859 ('alpha/beta hydrolase fold-Alpha/beta hydrolase fold-3', '1.7E-41', 'Pfam')"	"PTHR23024 ('ARYLACETAMIDE DEACETYLASE-Diverse Carboxylesterases and Gibberellin Receptors', '7.0E-75', 'PANTHER')"	"chr03"	5160673	5161798
"M2"	"VIT_18s0089g00980"	"Vitvi18g03263"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	""	NA	NA	NA	NA	NA
"M2"	"VIT_00s0276g00010"	NA	NA	""	""	""	""	NA	NA	NA	NA	NA	NA	NA
"M2"	"VIT_17s0053g00040"	"Vitvi17g01148"	"Vitvi05_01chr17g16900"	"24; 24.2; 24.2.10; 24.2.10.1; 25; 25.4; 25.4.3; 25.4.3.2"	"Solute transport; Solute transport.carrier-mediated transport; Solute transport.carrier-mediated transport.OPT family; Solute transport.carrier-mediated transport.OPT family.iron chelator transporter (YSL); Nutrient uptake; Nutrient uptake.iron uptake; Nutrient uptake.iron uptake.chelation-based strategy uptake; Nutrient uptake.iron uptake.chelation-based strategy uptake.ferric cation-chelator transporter (YSL)"	"24; 24.2; 24.2.10; 24.2.10.1"	"mapman:Solute transport; mapman:Solute transport.carrier-mediated transport; mapman:Solute transport.carrier-mediated transport.OPT family; mapman:Solute transport.carrier-mediated transport.OPT family.iron chelator transporter *(YSL)"	"PF03169 ('OPT oligopeptide transporter protein-Oligopeptide transporter, OPT superfamily', '0.0', 'Pfam')"	"PTHR31645 ('OLIGOPEPTIDE TRANSPORTER YGL114W-RELATED-Metal-nicotianamine transporter YSL-like', '0.0', 'PANTHER')"	"PF03169 ('OPT oligopeptide transporter protein-Oligopeptide transporter, OPT superfamily', '0.0', 'Pfam')"	"PTHR31645 ('OLIGOPEPTIDE TRANSPORTER YGL114W-RELATED-Metal-nicotianamine transporter YSL-like', '0.0', 'PANTHER')"	"chr17"	17214401	17219791
"M2"	"VIT_14s0108g01000"	"Vitvi14g01975"	"Vitvi05_01chr14g29510"	"35; 35.1"	"not assigned; not assigned.annotated"	"27; 27.8; 27.8.2"	"mapman:Multi-process regulation; mapman:Multi-process regulation.calcium-dependent signalling; mapman:Multi-process regulation.calcium-dependent signalling.calcium sensor *(CML)"	"PF13499 ('EF-hand domain pair-EF-hand domain', '6.0E-9', 'Pfam')"	"PTHR10891 ('EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN', '3.0E-18', 'PANTHER')"	"PF13499 ('EF-hand domain pair-EF-hand domain', '6.0E-9', 'Pfam')"	"PTHR10891 ('EF-HAND CALCIUM-BINDING DOMAIN CONTAINING PROTEIN', '3.0E-18', 'PANTHER')"	"chr14"	29847035	29848095
"M2"	"VIT_12s0035g00740"	NA	NA	""	""	""	""	NA	NA	NA	NA	NA	NA	NA
"M2"	"VIT_13s0019g02910"	"Vitvi13g02022"	"Vitvi05_01chr13g06200"	"50; 50.2; 50.2.4"	"Enzyme classification; Enzyme classification.EC_2 transferases; Enzyme classification.EC_2 transferases.EC_2.4 glycosyltransferase"	"50; 50.2; 50.2.4"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-4 glycosyltransferase"	"PF00201 ('UDP-glucoronosyl and UDP-glucosyl transferase-UDP-glucuronosyl/UDP-glucosyltransferase', '1.4E-24', 'Pfam')"	"PTHR48049 ('GLYCOSYLTRANSFERASE-Plant UDP-glycosyltransferase', '1.4E-119', 'PANTHER')"	"PF00201 ('UDP-glucoronosyl and UDP-glucosyl transferase-UDP-glucuronosyl/UDP-glucosyltransferase', '1.4E-24', 'Pfam')"	"PTHR48049 ('GLYCOSYLTRANSFERASE-Plant UDP-glycosyltransferase', '1.4E-119', 'PANTHER')"	"chr13"	4189398	4192302
"M2"	"VIT_14s0030g01150"	"Vitvi14g02630"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	""	NA	NA	NA	NA	NA
"M2"	"VIT_14s0006g01040"	"Vitvi14g02812"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	"PTHR13544 ('SELENOPROTEIN T-Selenoprotein T', '2.5E-30', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_00s0227g00080"	NA	NA	""	""	""	""	NA	NA	NA	NA	NA	NA	NA
"M2"	"VIT_00s0160g00100"	"Vitvi07g02833"	NA	"26; 26.8; 26.8.2; 26.8.2.1"	"External stimuli response; External stimuli response.pathogen; External stimuli response.pathogen.effector-triggered immunity (ETI) network; External stimuli response.pathogen.effector-triggered immunity (ETI) network.effector receptor (NLR)"	""	""	"PF01582 ('TIR domain-Toll/interleukin-1 receptor homology (TIR) domain', '4.6E-48', 'Pfam')"	"PTHR32009 ('TMV RESISTANCE PROTEIN N-LIKE', '1.8E-69', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_00s0184g00210"	NA	NA	""	""	""	""	NA	NA	NA	NA	NA	NA	NA
"M2"	"VIT_19s0090g00330"	"Vitvi19g02011"	"Vitvi05_01chr19g08330"	"35; 35.1"	"not assigned; not assigned.annotated"	""	""	"PF01553 ('Acyltransferase-Phospholipid/glycerol acyltransferase', '3.4E-30', 'Pfam')"	"PTHR10434 ('1-ACYL-SN-GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE', '3.6E-53', 'PANTHER')"	"PF01553 ('Acyltransferase-Phospholipid/glycerol acyltransferase', '1.1E-30', 'Pfam'); PF01553 ('Acyltransferase-Phospholipid/glycerol acyltransferase', '1.2E-22', 'Pfam')"	"PTHR10434 ('1-ACYL-SN-GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE', '4.6E-36', 'PANTHER'); PTHR10434 ('1-ACYL-SN-GLYCEROL-3-PHOSPHATE ACYLTRANSFERASE', '6.3E-49', 'PANTHER')"	"chr19"	6485153	6490339
"M2"	"VIT_19s0093g00190"	"Vitvi19g01308"	NA	"18; 18.8; 18.8.1; 18.8.1.4"	"Protein modification; Protein modification.S-glutathionylation; Protein modification.S-glutathionylation.glutathione S-transferase activities; Protein modification.S-glutathionylation.glutathione S-transferase activities.class tau glutathione S-transferase"	""	""	"PF00043 ('Glutathione S-transferase, C-terminal domain-Glutathione S-transferase, C-terminal', '1.6E-7', 'Pfam'); PF02798 ('Glutathione S-transferase, N-terminal domain-Glutathione S-transferase, N-terminal', '2.2E-18', 'Pfam')"	"PTHR11260 ('GLUTATHIONE S-TRANSFERASE, GST, SUPERFAMILY, GST DOMAIN CONTAINING-Glutathione S-transferase Omega/Tau-like', '2.0E-78', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_19s0014g03390"	"Vitvi19g00278"	NA	"35; 35.2"	"not assigned; not assigned.not annotated"	""	""	""	"PTHR33320 ('METHIONYL-TRNA SYNTHETASE', '1.3E-26', 'PANTHER')"	NA	NA	NA	NA	NA
"M2"	"VIT_00s0179g00250"	NA	NA	""	""	""	""	NA	NA	NA	NA	NA	NA	NA
