Transcript	Gene
Vitvi05_01chr07g00020_t002	Vitvi05_01chr07g00020
Vitvi05_01chr07g00020_t001	Vitvi05_01chr07g00020
Vitvi05_01chr07g00030_t001	Vitvi05_01chr07g00030
Vitvi05_01chr07g00030_t002	Vitvi05_01chr07g00030
Vitvi05_01chr07g00040_t001	Vitvi05_01chr07g00040
Vitvi05_01chr07g00050_t001	Vitvi05_01chr07g00050
Vitvi05_01chr07g00060_t001	Vitvi05_01chr07g00060
Vitvi05_01chr07g00070_t001	Vitvi05_01chr07g00070
Vitvi05_01chr07g00080_t001	Vitvi05_01chr07g00080
Vitvi05_01chr07g00090_t001	Vitvi05_01chr07g00090
Vitvi05_01chr07g00100_t001	Vitvi05_01chr07g00100
Vitvi05_01chr07g00110_t001	Vitvi05_01chr07g00110
Vitvi05_01chr07g00120_t001	Vitvi05_01chr07g00120
Vitvi05_01chr07g00130_t001	Vitvi05_01chr07g00130
Vitvi05_01chr07g00140_t001	Vitvi05_01chr07g00140
Vitvi05_01chr07g00150_t001	Vitvi05_01chr07g00150
Vitvi05_01chr07g00160_t001	Vitvi05_01chr07g00160
Vitvi05_01chr07g00170_t001	Vitvi05_01chr07g00170
Vitvi05_01chr07g00180_t001	Vitvi05_01chr07g00180
Vitvi05_01chr07g00190_t001	Vitvi05_01chr07g00190
Vitvi05_01chr07g00200_t001	Vitvi05_01chr07g00200
Vitvi05_01chr07g00200_t002	Vitvi05_01chr07g00200
Vitvi05_01chr07g00210_t002	Vitvi05_01chr07g00210
Vitvi05_01chr07g00210_t001	Vitvi05_01chr07g00210
Vitvi05_01chr07g00220_t001	Vitvi05_01chr07g00220
Vitvi05_01chr07g00220_t002	Vitvi05_01chr07g00220
Vitvi05_01chr07g00230_t001	Vitvi05_01chr07g00230
Vitvi05_01chr07g00240_t002	Vitvi05_01chr07g00240
Vitvi05_01chr07g00240_t001	Vitvi05_01chr07g00240
Vitvi05_01chr07g00250_t001	Vitvi05_01chr07g00250
Vitvi05_01chr07g00260_t001	Vitvi05_01chr07g00260
Vitvi05_01chr07g00270_t002	Vitvi05_01chr07g00270
Vitvi05_01chr07g00270_t001	Vitvi05_01chr07g00270
Vitvi05_01chr07g00280_t001	Vitvi05_01chr07g00280
Vitvi05_01chr07g00290_t002	Vitvi05_01chr07g00290
Vitvi05_01chr07g00290_t001	Vitvi05_01chr07g00290
Vitvi05_01chr07g00290_t003	Vitvi05_01chr07g00290
Vitvi05_01chr07g00290_t004	Vitvi05_01chr07g00290
Vitvi05_01chr07g00290_t005	Vitvi05_01chr07g00290
Vitvi05_01chr07g00290_t006	Vitvi05_01chr07g00290
Vitvi05_01chr07g00300_t001	Vitvi05_01chr07g00300
Vitvi05_01chr07g00310_t002	Vitvi05_01chr07g00310
Vitvi05_01chr07g00310_t001	Vitvi05_01chr07g00310
Vitvi05_01chr07g00320_t001	Vitvi05_01chr07g00320
Vitvi05_01chr07g00330_t001	Vitvi05_01chr07g00330
Vitvi05_01chr07g00340_t001	Vitvi05_01chr07g00340
Vitvi05_01chr07g00350_t001	Vitvi05_01chr07g00350
Vitvi05_01chr07g00360_t001	Vitvi05_01chr07g00360
Vitvi05_01chr07g00370_t001	Vitvi05_01chr07g00370
Vitvi05_01chr07g00380_t001	Vitvi05_01chr07g00380
Vitvi05_01chr07g00390_t001	Vitvi05_01chr07g00390
Vitvi05_01chr07g00400_t001	Vitvi05_01chr07g00400
Vitvi05_01chr07g00410_t001	Vitvi05_01chr07g00410
Vitvi05_01chr07g00420_t001	Vitvi05_01chr07g00420
Vitvi05_01chr07g00430_t002	Vitvi05_01chr07g00430
Vitvi05_01chr07g00430_t001	Vitvi05_01chr07g00430
Vitvi05_01chr07g00440_t001	Vitvi05_01chr07g00440
Vitvi05_01chr07g00450_t001	Vitvi05_01chr07g00450
Vitvi05_01chr07g00460_t002	Vitvi05_01chr07g00460
Vitvi05_01chr07g00460_t001	Vitvi05_01chr07g00460
Vitvi05_01chr07g00470_t001	Vitvi05_01chr07g00470
Vitvi05_01chr07g00480_t001	Vitvi05_01chr07g00480
Vitvi05_01chr07g00490_t001	Vitvi05_01chr07g00490
Vitvi05_01chr07g00500_t002	Vitvi05_01chr07g00500
Vitvi05_01chr07g00500_t001	Vitvi05_01chr07g00500
Vitvi05_01chr07g00510_t001	Vitvi05_01chr07g00510
Vitvi05_01chr07g00520_t001	Vitvi05_01chr07g00520
Vitvi05_01chr07g00530_t001	Vitvi05_01chr07g00530
Vitvi05_01chr07g00540_t001	Vitvi05_01chr07g00540
Vitvi05_01chr07g00540_t002	Vitvi05_01chr07g00540
Vitvi05_01chr07g00540_t003	Vitvi05_01chr07g00540
Vitvi05_01chr07g00550_t001	Vitvi05_01chr07g00550
Vitvi05_01chr07g00560_t001	Vitvi05_01chr07g00560
Vitvi05_01chr07g00570_t002	Vitvi05_01chr07g00570
Vitvi05_01chr07g00570_t001	Vitvi05_01chr07g00570
Vitvi05_01chr07g00580_t001	Vitvi05_01chr07g00580
Vitvi05_01chr07g00590_t001	Vitvi05_01chr07g00590
Vitvi05_01chr07g00590_t002	Vitvi05_01chr07g00590
Vitvi05_01chr07g00590_t003	Vitvi05_01chr07g00590
Vitvi05_01chr07g00600_t002	Vitvi05_01chr07g00600
Vitvi05_01chr07g00600_t001	Vitvi05_01chr07g00600
Vitvi05_01chr07g00610_t001	Vitvi05_01chr07g00610
Vitvi05_01chr07g00620_t001	Vitvi05_01chr07g00620
Vitvi05_01chr07g00630_t001	Vitvi05_01chr07g00630
Vitvi05_01chr07g00640_t001	Vitvi05_01chr07g00640
Vitvi05_01chr07g00650_t001	Vitvi05_01chr07g00650
Vitvi05_01chr07g00660_t001	Vitvi05_01chr07g00660
Vitvi05_01chr07g00670_t001	Vitvi05_01chr07g00670
Vitvi05_01chr07g00680_t001	Vitvi05_01chr07g00680
Vitvi05_01chr07g00690_t001	Vitvi05_01chr07g00690
Vitvi05_01chr07g00700_t001	Vitvi05_01chr07g00700
Vitvi05_01chr07g00710_t001	Vitvi05_01chr07g00710
Vitvi05_01chr07g00720_t001	Vitvi05_01chr07g00720
Vitvi05_01chr07g00730_t001	Vitvi05_01chr07g00730
Vitvi05_01chr07g00740_t002	Vitvi05_01chr07g00740
Vitvi05_01chr07g00740_t001	Vitvi05_01chr07g00740
Vitvi05_01chr07g00750_t001	Vitvi05_01chr07g00750
Vitvi05_01chr07g00760_t001	Vitvi05_01chr07g00760
Vitvi05_01chr07g00770_t001	Vitvi05_01chr07g00770
Vitvi05_01chr07g00780_t001	Vitvi05_01chr07g00780
Vitvi05_01chr07g00790_t002	Vitvi05_01chr07g00790
Vitvi05_01chr07g00790_t001	Vitvi05_01chr07g00790
Vitvi05_01chr07g00800_t001	Vitvi05_01chr07g00800
Vitvi05_01chr07g00810_t002	Vitvi05_01chr07g00810
Vitvi05_01chr07g00810_t001	Vitvi05_01chr07g00810
Vitvi05_01chr07g00810_t003	Vitvi05_01chr07g00810
Vitvi05_01chr07g00820_t001	Vitvi05_01chr07g00820
Vitvi05_01chr07g00830_t001	Vitvi05_01chr07g00830
Vitvi05_01chr07g00840_t001	Vitvi05_01chr07g00840
Vitvi05_01chr07g00850_t001	Vitvi05_01chr07g00850
Vitvi05_01chr07g00860_t001	Vitvi05_01chr07g00860
Vitvi05_01chr07g00870_t001	Vitvi05_01chr07g00870
Vitvi05_01chr07g00880_t001	Vitvi05_01chr07g00880
Vitvi05_01chr07g00890_t001	Vitvi05_01chr07g00890
Vitvi05_01chr07g00900_t001	Vitvi05_01chr07g00900
Vitvi05_01chr07g00910_t001	Vitvi05_01chr07g00910
Vitvi05_01chr07g00920_t001	Vitvi05_01chr07g00920
Vitvi05_01chr07g00930_t001	Vitvi05_01chr07g00930
Vitvi05_01chr07g00940_t001	Vitvi05_01chr07g00940
Vitvi05_01chr07g00950_t001	Vitvi05_01chr07g00950
Vitvi05_01chr07g00960_t001	Vitvi05_01chr07g00960
Vitvi05_01chr07g00970_t001	Vitvi05_01chr07g00970
Vitvi05_01chr07g00980_t001	Vitvi05_01chr07g00980
Vitvi05_01chr07g00990_t001	Vitvi05_01chr07g00990
Vitvi05_01chr07g00990_t002	Vitvi05_01chr07g00990
Vitvi05_01chr07g01000_t001	Vitvi05_01chr07g01000
Vitvi05_01chr07g01010_t001	Vitvi05_01chr07g01010
Vitvi05_01chr07g01020_t001	Vitvi05_01chr07g01020
Vitvi05_01chr07g01030_t001	Vitvi05_01chr07g01030
Vitvi05_01chr07g01040_t001	Vitvi05_01chr07g01040
Vitvi05_01chr07g01050_t001	Vitvi05_01chr07g01050
Vitvi05_01chr07g01060_t001	Vitvi05_01chr07g01060
Vitvi05_01chr07g01070_t001	Vitvi05_01chr07g01070
Vitvi05_01chr07g01080_t001	Vitvi05_01chr07g01080
Vitvi05_01chr07g01090_t001	Vitvi05_01chr07g01090
Vitvi05_01chr07g01100_t001	Vitvi05_01chr07g01100
Vitvi05_01chr07g01100_t002	Vitvi05_01chr07g01100
Vitvi05_01chr07g01110_t002	Vitvi05_01chr07g01110
Vitvi05_01chr07g01110_t001	Vitvi05_01chr07g01110
Vitvi05_01chr07g01120_t001	Vitvi05_01chr07g01120
Vitvi05_01chr07g01130_t001	Vitvi05_01chr07g01130
Vitvi05_01chr07g01140_t001	Vitvi05_01chr07g01140
Vitvi05_01chr07g01150_t001	Vitvi05_01chr07g01150
Vitvi05_01chr07g01160_t001	Vitvi05_01chr07g01160
Vitvi05_01chr07g01170_t001	Vitvi05_01chr07g01170
Vitvi05_01chr07g01180_t001	Vitvi05_01chr07g01180
Vitvi05_01chr07g01190_t001	Vitvi05_01chr07g01190
Vitvi05_01chr07g01200_t001	Vitvi05_01chr07g01200
Vitvi05_01chr07g01210_t001	Vitvi05_01chr07g01210
Vitvi05_01chr07g01220_t001	Vitvi05_01chr07g01220
Vitvi05_01chr07g01230_t001	Vitvi05_01chr07g01230
Vitvi05_01chr07g01240_t001	Vitvi05_01chr07g01240
Vitvi05_01chr07g01250_t001	Vitvi05_01chr07g01250
Vitvi05_01chr07g01260_t001	Vitvi05_01chr07g01260
Vitvi05_01chr07g01270_t001	Vitvi05_01chr07g01270
Vitvi05_01chr07g01280_t001	Vitvi05_01chr07g01280
Vitvi05_01chr07g01280_t002	Vitvi05_01chr07g01280
Vitvi05_01chr07g01290_t001	Vitvi05_01chr07g01290
Vitvi05_01chr07g01300_t001	Vitvi05_01chr07g01300
Vitvi05_01chr07g01310_t001	Vitvi05_01chr07g01310
Vitvi05_01chr07g01320_t001	Vitvi05_01chr07g01320
Vitvi05_01chr07g01330_t001	Vitvi05_01chr07g01330
Vitvi05_01chr07g01340_t002	Vitvi05_01chr07g01340
Vitvi05_01chr07g01340_t001	Vitvi05_01chr07g01340
Vitvi05_01chr07g01350_t001	Vitvi05_01chr07g01350
Vitvi05_01chr07g01360_t001	Vitvi05_01chr07g01360
Vitvi05_01chr07g01370_t002	Vitvi05_01chr07g01370
Vitvi05_01chr07g01370_t001	Vitvi05_01chr07g01370
Vitvi05_01chr07g01380_t001	Vitvi05_01chr07g01380
Vitvi05_01chr07g01390_t002	Vitvi05_01chr07g01390
Vitvi05_01chr07g01390_t001	Vitvi05_01chr07g01390
Vitvi05_01chr07g01400_t001	Vitvi05_01chr07g01400
Vitvi05_01chr07g01410_t001	Vitvi05_01chr07g01410
Vitvi05_01chr07g01420_t002	Vitvi05_01chr07g01420
Vitvi05_01chr07g01420_t001	Vitvi05_01chr07g01420
Vitvi05_01chr07g01430_t001	Vitvi05_01chr07g01430
Vitvi05_01chr07g01430_t002	Vitvi05_01chr07g01430
Vitvi05_01chr07g01430_t003	Vitvi05_01chr07g01430
Vitvi05_01chr07g01440_t001	Vitvi05_01chr07g01440
Vitvi05_01chr07g01450_t001	Vitvi05_01chr07g01450
Vitvi05_01chr07g01450_t002	Vitvi05_01chr07g01450
Vitvi05_01chr07g01460_t001	Vitvi05_01chr07g01460
Vitvi05_01chr07g01470_t001	Vitvi05_01chr07g01470
Vitvi05_01chr07g01480_t002	Vitvi05_01chr07g01480
Vitvi05_01chr07g01480_t001	Vitvi05_01chr07g01480
Vitvi05_01chr07g01490_t002	Vitvi05_01chr07g01490
Vitvi05_01chr07g01490_t001	Vitvi05_01chr07g01490
Vitvi05_01chr07g01500_t001	Vitvi05_01chr07g01500
Vitvi05_01chr07g01500_t002	Vitvi05_01chr07g01500
Vitvi05_01chr07g01510_t001	Vitvi05_01chr07g01510
Vitvi05_01chr07g01520_t001	Vitvi05_01chr07g01520
Vitvi05_01chr07g01530_t001	Vitvi05_01chr07g01530
Vitvi05_01chr07g01540_t001	Vitvi05_01chr07g01540
Vitvi05_01chr07g01550_t002	Vitvi05_01chr07g01550
Vitvi05_01chr07g01550_t001	Vitvi05_01chr07g01550
Vitvi05_01chr07g01560_t002	Vitvi05_01chr07g01560
Vitvi05_01chr07g01560_t001	Vitvi05_01chr07g01560
Vitvi05_01chr07g01560_t003	Vitvi05_01chr07g01560
Vitvi05_01chr07g01570_t002	Vitvi05_01chr07g01570
Vitvi05_01chr07g01570_t001	Vitvi05_01chr07g01570
Vitvi05_01chr07g01570_t003	Vitvi05_01chr07g01570
Vitvi05_01chr07g01580_t001	Vitvi05_01chr07g01580
Vitvi05_01chr07g01590_t001	Vitvi05_01chr07g01590
Vitvi05_01chr07g01600_t001	Vitvi05_01chr07g01600
Vitvi05_01chr07g01610_t002	Vitvi05_01chr07g01610
Vitvi05_01chr07g01610_t001	Vitvi05_01chr07g01610
Vitvi05_01chr07g01620_t001	Vitvi05_01chr07g01620
Vitvi05_01chr07g01630_t001	Vitvi05_01chr07g01630
Vitvi05_01chr07g01640_t001	Vitvi05_01chr07g01640
Vitvi05_01chr07g01650_t001	Vitvi05_01chr07g01650
Vitvi05_01chr07g01660_t002	Vitvi05_01chr07g01660
Vitvi05_01chr07g01660_t001	Vitvi05_01chr07g01660
Vitvi05_01chr07g01670_t001	Vitvi05_01chr07g01670
Vitvi05_01chr07g01680_t001	Vitvi05_01chr07g01680
Vitvi05_01chr07g01690_t001	Vitvi05_01chr07g01690
Vitvi05_01chr07g01700_t001	Vitvi05_01chr07g01700
Vitvi05_01chr07g01710_t001	Vitvi05_01chr07g01710
Vitvi05_01chr07g01720_t001	Vitvi05_01chr07g01720
Vitvi05_01chr07g01730_t001	Vitvi05_01chr07g01730
Vitvi05_01chr07g01740_t002	Vitvi05_01chr07g01740
Vitvi05_01chr07g01740_t001	Vitvi05_01chr07g01740
Vitvi05_01chr07g01750_t001	Vitvi05_01chr07g01750
Vitvi05_01chr07g01760_t001	Vitvi05_01chr07g01760
Vitvi05_01chr07g01770_t002	Vitvi05_01chr07g01770
Vitvi05_01chr07g01770_t001	Vitvi05_01chr07g01770
Vitvi05_01chr07g01780_t001	Vitvi05_01chr07g01780
Vitvi05_01chr07g01780_t002	Vitvi05_01chr07g01780
Vitvi05_01chr07g01790_t001	Vitvi05_01chr07g01790
Vitvi05_01chr07g01800_t001	Vitvi05_01chr07g01800
Vitvi05_01chr07g01800_t002	Vitvi05_01chr07g01800
Vitvi05_01chr07g01810_t002	Vitvi05_01chr07g01810
Vitvi05_01chr07g01810_t001	Vitvi05_01chr07g01810
Vitvi05_01chr07g01820_t001	Vitvi05_01chr07g01820
Vitvi05_01chr07g01830_t001	Vitvi05_01chr07g01830
Vitvi05_01chr07g01840_t001	Vitvi05_01chr07g01840
Vitvi05_01chr07g01850_t001	Vitvi05_01chr07g01850
Vitvi05_01chr07g01860_t001	Vitvi05_01chr07g01860
Vitvi05_01chr07g01870_t001	Vitvi05_01chr07g01870
Vitvi05_01chr07g01880_t001	Vitvi05_01chr07g01880
Vitvi05_01chr07g01890_t002	Vitvi05_01chr07g01890
Vitvi05_01chr07g01890_t001	Vitvi05_01chr07g01890
Vitvi05_01chr07g01900_t001	Vitvi05_01chr07g01900
Vitvi05_01chr07g01910_t002	Vitvi05_01chr07g01910
Vitvi05_01chr07g01910_t001	Vitvi05_01chr07g01910
Vitvi05_01chr07g01920_t001	Vitvi05_01chr07g01920
Vitvi05_01chr07g01930_t001	Vitvi05_01chr07g01930
Vitvi05_01chr07g01940_t001	Vitvi05_01chr07g01940
Vitvi05_01chr07g01940_t002	Vitvi05_01chr07g01940
Vitvi05_01chr07g01950_t001	Vitvi05_01chr07g01950
Vitvi05_01chr07g01960_t002	Vitvi05_01chr07g01960
Vitvi05_01chr07g01960_t003	Vitvi05_01chr07g01960
Vitvi05_01chr07g01960_t001	Vitvi05_01chr07g01960
Vitvi05_01chr07g01970_t001	Vitvi05_01chr07g01970
Vitvi05_01chr07g01980_t001	Vitvi05_01chr07g01980
Vitvi05_01chr07g01990_t001	Vitvi05_01chr07g01990
Vitvi05_01chr07g02000_t001	Vitvi05_01chr07g02000
Vitvi05_01chr07g02010_t001	Vitvi05_01chr07g02010
Vitvi05_01chr07g02020_t001	Vitvi05_01chr07g02020
Vitvi05_01chr07g02030_t001	Vitvi05_01chr07g02030
Vitvi05_01chr07g02040_t002	Vitvi05_01chr07g02040
Vitvi05_01chr07g02040_t001	Vitvi05_01chr07g02040
Vitvi05_01chr07g02050_t001	Vitvi05_01chr07g02050
Vitvi05_01chr07g02060_t001	Vitvi05_01chr07g02060
Vitvi05_01chr07g02070_t001	Vitvi05_01chr07g02070
Vitvi05_01chr07g02080_t001	Vitvi05_01chr07g02080
Vitvi05_01chr07g02090_t001	Vitvi05_01chr07g02090
Vitvi05_01chr07g02100_t001	Vitvi05_01chr07g02100
Vitvi05_01chr07g02110_t002	Vitvi05_01chr07g02110
Vitvi05_01chr07g02110_t001	Vitvi05_01chr07g02110
Vitvi05_01chr07g02120_t001	Vitvi05_01chr07g02120
Vitvi05_01chr07g02130_t001	Vitvi05_01chr07g02130
Vitvi05_01chr07g02140_t001	Vitvi05_01chr07g02140
Vitvi05_01chr07g02150_t001	Vitvi05_01chr07g02150
Vitvi05_01chr07g02160_t001	Vitvi05_01chr07g02160
Vitvi05_01chr07g02170_t001	Vitvi05_01chr07g02170
Vitvi05_01chr07g02180_t001	Vitvi05_01chr07g02180
Vitvi05_01chr07g02190_t002	Vitvi05_01chr07g02190
Vitvi05_01chr07g02190_t001	Vitvi05_01chr07g02190
Vitvi05_01chr07g02200_t001	Vitvi05_01chr07g02200
Vitvi05_01chr07g02210_t001	Vitvi05_01chr07g02210
Vitvi05_01chr07g02220_t001	Vitvi05_01chr07g02220
Vitvi05_01chr07g02230_t001	Vitvi05_01chr07g02230
Vitvi05_01chr07g02240_t001	Vitvi05_01chr07g02240
Vitvi05_01chr07g02250_t001	Vitvi05_01chr07g02250
Vitvi05_01chr07g02260_t001	Vitvi05_01chr07g02260
Vitvi05_01chr07g02270_t001	Vitvi05_01chr07g02270
Vitvi05_01chr07g02280_t001	Vitvi05_01chr07g02280
Vitvi05_01chr07g02290_t001	Vitvi05_01chr07g02290
Vitvi05_01chr07g02300_t001	Vitvi05_01chr07g02300
Vitvi05_01chr07g02310_t001	Vitvi05_01chr07g02310
Vitvi05_01chr07g02320_t001	Vitvi05_01chr07g02320
Vitvi05_01chr07g02330_t001	Vitvi05_01chr07g02330
Vitvi05_01chr07g02340_t001	Vitvi05_01chr07g02340
Vitvi05_01chr07g02350_t001	Vitvi05_01chr07g02350
Vitvi05_01chr07g02360_t001	Vitvi05_01chr07g02360
Vitvi05_01chr07g02370_t002	Vitvi05_01chr07g02370
Vitvi05_01chr07g02370_t001	Vitvi05_01chr07g02370
Vitvi05_01chr07g02380_t001	Vitvi05_01chr07g02380
Vitvi05_01chr07g02390_t002	Vitvi05_01chr07g02390
Vitvi05_01chr07g02390_t001	Vitvi05_01chr07g02390
Vitvi05_01chr07g02400_t002	Vitvi05_01chr07g02400
Vitvi05_01chr07g02400_t001	Vitvi05_01chr07g02400
Vitvi05_01chr07g02410_t001	Vitvi05_01chr07g02410
Vitvi05_01chr07g02420_t001	Vitvi05_01chr07g02420
Vitvi05_01chr07g02430_t001	Vitvi05_01chr07g02430
Vitvi05_01chr07g02430_t002	Vitvi05_01chr07g02430
Vitvi05_01chr07g02440_t001	Vitvi05_01chr07g02440
Vitvi05_01chr07g02450_t001	Vitvi05_01chr07g02450
Vitvi05_01chr07g02460_t001	Vitvi05_01chr07g02460
Vitvi05_01chr07g02470_t001	Vitvi05_01chr07g02470
Vitvi05_01chr07g02480_t001	Vitvi05_01chr07g02480
Vitvi05_01chr07g02490_t001	Vitvi05_01chr07g02490
Vitvi05_01chr07g02500_t001	Vitvi05_01chr07g02500
Vitvi05_01chr07g02510_t001	Vitvi05_01chr07g02510
Vitvi05_01chr07g02520_t002	Vitvi05_01chr07g02520
Vitvi05_01chr07g02520_t001	Vitvi05_01chr07g02520
Vitvi05_01chr07g02530_t001	Vitvi05_01chr07g02530
Vitvi05_01chr07g02540_t001	Vitvi05_01chr07g02540
Vitvi05_01chr07g02550_t001	Vitvi05_01chr07g02550
Vitvi05_01chr07g02560_t002	Vitvi05_01chr07g02560
Vitvi05_01chr07g02560_t001	Vitvi05_01chr07g02560
Vitvi05_01chr07g02570_t001	Vitvi05_01chr07g02570
Vitvi05_01chr07g02580_t001	Vitvi05_01chr07g02580
Vitvi05_01chr07g02590_t001	Vitvi05_01chr07g02590
Vitvi05_01chr07g02600_t001	Vitvi05_01chr07g02600
Vitvi05_01chr07g02610_t001	Vitvi05_01chr07g02610
Vitvi05_01chr07g02620_t001	Vitvi05_01chr07g02620
Vitvi05_01chr07g02630_t002	Vitvi05_01chr07g02630
Vitvi05_01chr07g02630_t001	Vitvi05_01chr07g02630
Vitvi05_01chr07g02640_t001	Vitvi05_01chr07g02640
Vitvi05_01chr07g02650_t001	Vitvi05_01chr07g02650
Vitvi05_01chr07g02660_t001	Vitvi05_01chr07g02660
Vitvi05_01chr07g02670_t001	Vitvi05_01chr07g02670
Vitvi05_01chr07g02680_t001	Vitvi05_01chr07g02680
Vitvi05_01chr07g02690_t001	Vitvi05_01chr07g02690
Vitvi05_01chr07g02700_t001	Vitvi05_01chr07g02700
Vitvi05_01chr07g02710_t001	Vitvi05_01chr07g02710
Vitvi05_01chr07g02720_t002	Vitvi05_01chr07g02720
Vitvi05_01chr07g02720_t001	Vitvi05_01chr07g02720
Vitvi05_01chr07g02730_t001	Vitvi05_01chr07g02730
Vitvi05_01chr07g02740_t001	Vitvi05_01chr07g02740
Vitvi05_01chr07g02750_t001	Vitvi05_01chr07g02750
Vitvi05_01chr07g02760_t002	Vitvi05_01chr07g02760
Vitvi05_01chr07g02760_t001	Vitvi05_01chr07g02760
Vitvi05_01chr07g02770_t001	Vitvi05_01chr07g02770
Vitvi05_01chr07g02780_t001	Vitvi05_01chr07g02780
Vitvi05_01chr07g02790_t001	Vitvi05_01chr07g02790
Vitvi05_01chr07g02800_t001	Vitvi05_01chr07g02800
Vitvi05_01chr07g02810_t001	Vitvi05_01chr07g02810
Vitvi05_01chr07g02820_t001	Vitvi05_01chr07g02820
Vitvi05_01chr07g02830_t002	Vitvi05_01chr07g02830
Vitvi05_01chr07g02830_t001	Vitvi05_01chr07g02830
Vitvi05_01chr07g02840_t002	Vitvi05_01chr07g02840
Vitvi05_01chr07g02840_t001	Vitvi05_01chr07g02840
Vitvi05_01chr07g02850_t001	Vitvi05_01chr07g02850
Vitvi05_01chr07g02860_t001	Vitvi05_01chr07g02860
Vitvi05_01chr07g02870_t001	Vitvi05_01chr07g02870
Vitvi05_01chr07g02880_t002	Vitvi05_01chr07g02880
Vitvi05_01chr07g02880_t001	Vitvi05_01chr07g02880
Vitvi05_01chr07g02880_t003	Vitvi05_01chr07g02880
Vitvi05_01chr07g02890_t001	Vitvi05_01chr07g02890
Vitvi05_01chr07g02900_t001	Vitvi05_01chr07g02900
Vitvi05_01chr07g02900_t002	Vitvi05_01chr07g02900
Vitvi05_01chr07g02910_t001	Vitvi05_01chr07g02910
Vitvi05_01chr07g02920_t001	Vitvi05_01chr07g02920
Vitvi05_01chr07g02930_t001	Vitvi05_01chr07g02930
Vitvi05_01chr07g02940_t002	Vitvi05_01chr07g02940
Vitvi05_01chr07g02940_t001	Vitvi05_01chr07g02940
Vitvi05_01chr07g02950_t001	Vitvi05_01chr07g02950
Vitvi05_01chr07g02960_t001	Vitvi05_01chr07g02960
Vitvi05_01chr07g02970_t001	Vitvi05_01chr07g02970
Vitvi05_01chr07g02980_t002	Vitvi05_01chr07g02980
Vitvi05_01chr07g02980_t001	Vitvi05_01chr07g02980
Vitvi05_01chr07g02990_t001	Vitvi05_01chr07g02990
Vitvi05_01chr07g03000_t002	Vitvi05_01chr07g03000
Vitvi05_01chr07g03000_t001	Vitvi05_01chr07g03000
Vitvi05_01chr07g03010_t001	Vitvi05_01chr07g03010
Vitvi05_01chr07g03020_t001	Vitvi05_01chr07g03020
Vitvi05_01chr07g03030_t001	Vitvi05_01chr07g03030
Vitvi05_01chr07g03040_t001	Vitvi05_01chr07g03040
Vitvi05_01chr07g03050_t001	Vitvi05_01chr07g03050
Vitvi05_01chr07g03060_t001	Vitvi05_01chr07g03060
Vitvi05_01chr07g03070_t001	Vitvi05_01chr07g03070
Vitvi05_01chr07g03080_t001	Vitvi05_01chr07g03080
Vitvi05_01chr07g03090_t001	Vitvi05_01chr07g03090
Vitvi05_01chr07g03100_t001	Vitvi05_01chr07g03100
Vitvi05_01chr07g03110_t001	Vitvi05_01chr07g03110
Vitvi05_01chr07g03120_t001	Vitvi05_01chr07g03120
Vitvi05_01chr07g03130_t001	Vitvi05_01chr07g03130
Vitvi05_01chr07g03140_t001	Vitvi05_01chr07g03140
Vitvi05_01chr07g03150_t001	Vitvi05_01chr07g03150
Vitvi05_01chr07g03160_t001	Vitvi05_01chr07g03160
Vitvi05_01chr07g03170_t001	Vitvi05_01chr07g03170
Vitvi05_01chr07g03180_t001	Vitvi05_01chr07g03180
Vitvi05_01chr07g03190_t001	Vitvi05_01chr07g03190
Vitvi05_01chr07g03200_t001	Vitvi05_01chr07g03200
Vitvi05_01chr07g03210_t001	Vitvi05_01chr07g03210
Vitvi05_01chr07g03220_t001	Vitvi05_01chr07g03220
Vitvi05_01chr07g03230_t001	Vitvi05_01chr07g03230
Vitvi05_01chr07g03240_t001	Vitvi05_01chr07g03240
Vitvi05_01chr07g03250_t001	Vitvi05_01chr07g03250
Vitvi05_01chr07g03260_t001	Vitvi05_01chr07g03260
Vitvi05_01chr07g03260_t002	Vitvi05_01chr07g03260
Vitvi05_01chr07g03270_t002	Vitvi05_01chr07g03270
Vitvi05_01chr07g03270_t001	Vitvi05_01chr07g03270
Vitvi05_01chr07g03280_t001	Vitvi05_01chr07g03280
Vitvi05_01chr07g03290_t001	Vitvi05_01chr07g03290
Vitvi05_01chr07g03300_t001	Vitvi05_01chr07g03300
Vitvi05_01chr07g03310_t001	Vitvi05_01chr07g03310
Vitvi05_01chr07g03320_t002	Vitvi05_01chr07g03320
Vitvi05_01chr07g03320_t001	Vitvi05_01chr07g03320
Vitvi05_01chr07g03330_t001	Vitvi05_01chr07g03330
Vitvi05_01chr07g03340_t001	Vitvi05_01chr07g03340
Vitvi05_01chr07g03350_t001	Vitvi05_01chr07g03350
Vitvi05_01chr07g03360_t001	Vitvi05_01chr07g03360
Vitvi05_01chr07g03370_t002	Vitvi05_01chr07g03370
Vitvi05_01chr07g03370_t001	Vitvi05_01chr07g03370
Vitvi05_01chr07g03380_t002	Vitvi05_01chr07g03380
Vitvi05_01chr07g03380_t001	Vitvi05_01chr07g03380
Vitvi05_01chr07g03390_t001	Vitvi05_01chr07g03390
Vitvi05_01chr07g03400_t002	Vitvi05_01chr07g03400
Vitvi05_01chr07g03400_t001	Vitvi05_01chr07g03400
Vitvi05_01chr07g03410_t001	Vitvi05_01chr07g03410
