"Gene"	"V3_gene"	"V5_gene"	"V3_MapMan_terms"	"V5_MapMan_terms"	"V3_Pfam"	"V3_PANTHER"	"V5_Chr"	"V5_GeneStart"	"V5_GeneEnd"	"V5_Pfam"	"V5_PANTHER"	"V5_OtherDomains"
"VIT_06s0004g01990"	"Vitvi06g01629"	"Vitvi05_01chr06g03110"	"not assigned; not assigned.not annotated"	NA	""	"PTHR36586 ('PROLINE-RICH EXTENSIN-LIKE', '3.4E-19', 'PANTHER')"	"chr06"	2472437	2473483	""	"PTHR36586 ('PROLINE-RICH EXTENSIN-LIKE', '3.4E-19', 'PANTHER')"	"PR01217 ('Proline rich extensin signature', '4.1E-13', 'PRINTS')"
"VIT_06s0061g01210"	"Vitvi06g01396"	"Vitvi05_01chr06g20500"	"Solute transport; Solute transport.carrier-mediated transport; Solute transport.carrier-mediated transport.APC superfamily; Solute transport.carrier-mediated transport.APC superfamily.AAAP family; Solute transport.carrier-mediated transport.APC superfamily.AAAP family.gamma-aminobutyric acid transporter (GAT)"	"mapman:Solute transport; mapman:Solute transport.carrier-mediated transport; mapman:Solute transport.carrier-mediated transport.APC superfamily; mapman:Solute transport.carrier-mediated transport.APC superfamily.AAAP family; mapman:Solute transport.carrier-mediated transport.APC superfamily.AAAP family.gamma-aminobutyric acid transporter *(GAT); mapman:Amino acid metabolism; mapman:Amino acid metabolism.glutamate group amino acid biosynthesis; mapman:Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids; mapman:Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids.gamma-aminobutyrate (GABA); mapman:Amino acid metabolism.glutamate group amino acid biosynthesis.glutamate-derived amino acids.gamma-aminobutyrate (GABA).GABA transporter *(GAT)"	"PF01490 ('Transmembrane amino acid transporter protein-Amino acid transporter, transmembrane domain', '5.3E-58', 'Pfam')"	"PTHR48017 ('OS05G0424000 PROTEIN-RELATED', '3.5E-79', 'PANTHER')"	"chr06"	22029365	22032578	"PF01490 ('Transmembrane amino acid transporter protein-Amino acid transporter, transmembrane domain', '5.4E-58', 'Pfam')"	"PTHR48017 ('OS05G0424000 PROTEIN-RELATED', '3.5E-79', 'PANTHER')"	""
"VIT_15s0046g01570"	"Vitvi15g01035"	"Vitvi05_01chr15g18250"	"not assigned; not assigned.annotated"	"mapman:External stimuli response; mapman:External stimuli response.pathogen; mapman:External stimuli response.pathogen.defense mechanisms; mapman:External stimuli response.pathogen.defense mechanisms.defense enzyme activities; mapman:External stimuli response.pathogen.defense mechanisms.defense enzyme activities.chitinase activities; mapman:External stimuli response.pathogen.defense mechanisms.defense enzyme activities.chitinase activities.acidic chitinase *(CHIA)"	"PF00704 ('Glycosyl hydrolases family 18-Glycoside hydrolase family 18, catalytic domain', '2.4E-17', 'Pfam')"	"PTHR45708 ('ENDOCHITINASE-Glycosyl Hydrolase 18 Family Chitinases', '9.0E-129', 'PANTHER')"	"chr15"	21750631	21752244	"PF00704 ('Glycosyl hydrolases family 18-Glycoside hydrolase family 18, catalytic domain', '2.4E-17', 'Pfam')"	"PTHR45708 ('ENDOCHITINASE-Glycosyl Hydrolase 18 Family Chitinases', '9.0E-129', 'PANTHER')"	"PS01095 ('Glycosyl hydrolases family 18 (GH18) active site signature.-Glycosyl hydrolases family 18 (GH18) active site', '-', 'ProSitePatterns'); G3DSA:3.20.20.80 ('Glycosidases', '1.1E-101', 'Gene3D'); PS51910 ('Glycosyl hydrolases family 18 (GH18) domain profile.-Glycoside hydrolase family 18, catalytic domain', '41.037918', 'ProSiteProfiles'); cd02877 ('GH18_hevamine_XipI_class_III-Chitinase Cts1-like', '0.0', 'CDD'); G3DSA:3.20.20.80:FF:000015 ('Acidic endochitinase SE2', '0.0', 'FunFam'); SSF51445 ('(Trans)glycosidases-Glycoside hydrolase superfamily', '1.54E-92', 'SUPERFAMILY')"
"VIT_02s0033g01380"	"Vitvi02g01182"	"Vitvi05_01chr02g18040"	"Cellular respiration; Cellular respiration.oxidative phosphorylation; Cellular respiration.oxidative phosphorylation.alternative NAD(P)H dehydrogenase activities; Cellular respiration.oxidative phosphorylation.alternative NAD(P)H dehydrogenase activities.alternative oxidase (AOx)"	"mapman:Cellular respiration; mapman:Cellular respiration.oxidative phosphorylation; mapman:Cellular respiration.oxidative phosphorylation.alternative NAD(P)H dehydrogenase activities; mapman:Cellular respiration.oxidative phosphorylation.alternative NAD(P)H dehydrogenase activities.alternative oxidase *(AOx)"	"PF01786 ('Alternative oxidase-Alternative oxidase', '4.8E-75', 'Pfam')"	"PTHR31803 ('ALTERNATIVE OXIDASE-Alternative oxidase', '6.6E-124', 'PANTHER')"	"chr02"	18914122	18915979	"PF01786 ('Alternative oxidase-Alternative oxidase', '4.8E-75', 'Pfam')"	"PTHR31803 ('ALTERNATIVE OXIDASE-Alternative oxidase', '6.6E-124', 'PANTHER')"	"G3DSA:1.20.1260.140:FF:000001 ('Ubiquinol oxidase', '0.0', 'FunFam'); cd01053 ('AOX-Alternative oxidase', '9.26947E-95', 'CDD'); G3DSA:1.20.1260.140 ('Alternative oxidase-Alternative oxidase superfamily', '7.7E-89', 'Gene3D')"
"VIT_05s0077g01540"	"Vitvi05g00072"	"Vitvi05_01chr05g01030"	"not assigned; not assigned.annotated"	NA	"PF00407 ('Pathogenesis-related protein Bet v 1 family-Bet v I/Major latex protein', '8.2E-22', 'Pfam')"	"PTHR31213 ('OS03G0300400 PROTEIN-RELATED-Plant defense and hormone signaling protein', '5.3E-64', 'PANTHER')"	"chr05"	683527	684718	"PF00407 ('Pathogenesis-related protein Bet v 1 family-Bet v I/Major latex protein', '8.2E-22', 'Pfam')"	"PTHR31213 ('OS03G0300400 PROTEIN-RELATED-Plant defense and hormone signaling protein', '5.3E-64', 'PANTHER')"	"PR00634 ('Major pollen allergen Bet V1 signature-Bet v I type allergen', '2.6E-46', 'PRINTS'); G3DSA:3.30.530.20:FF:000007 ('Major pollen allergen Bet v 1-A', '1.1E-72', 'FunFam'); SSF55961 ('Bet v1-like', '1.34E-46', 'SUPERFAMILY'); cd07816 ('Bet_v1-like', '3.23025E-62', 'CDD'); PS00451 ('Pathogenesis-related proteins Bet v I family signature.-Bet v I type allergen', '-', 'ProSitePatterns'); G3DSA:3.30.530.20 ('START-like domain superfamily', '5.9E-66', 'Gene3D'); SM01037 ('Bet_v_1_2-Bet v I/Major latex protein', '0.004', 'SMART')"
"VIT_01s0011g01810"	"Vitvi01g00141"	NA	"not assigned; not assigned.not annotated"	NA	""	"PTHR35584 ('FLAGELLAR ASSOCIATED PROTEIN', '3.3E-19', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_06s0004g01010"	"Vitvi06g01599"	"Vitvi05_01chr06g01530"	"not assigned; not assigned.annotated"	NA	"PF03018 ('Dirigent-like protein-Dirigent protein', '2.5E-49', 'Pfam')"	"PTHR21495 ('NUCLEOPORIN-RELATED-Dirigent protein', '1.0E-59', 'PANTHER')"	"chr06"	1149336	1150786	"PF03018 ('Dirigent-like protein-Dirigent protein', '2.5E-49', 'Pfam')"	"PTHR21495 ('NUCLEOPORIN-RELATED-Dirigent protein', '1.0E-59', 'PANTHER')"	"G3DSA:2.40.480.10 ('Allene oxide cyclase/Dirigent protein', '6.5E-16', 'Gene3D')"
"VIT_05s0020g03140"	"Vitvi05g00468"	"Vitvi05_01chr05g07090"	"Solute transport; Solute transport.carrier-mediated transport; Solute transport.carrier-mediated transport.MFS superfamily; Solute transport.carrier-mediated transport.MFS superfamily.SP family; Solute transport.carrier-mediated transport.MFS superfamily.SP family.monosaccharide transporter (STP)"	"mapman:Solute transport; mapman:Solute transport.carrier-mediated transport; mapman:Solute transport.carrier-mediated transport.MFS superfamily; mapman:Solute transport.carrier-mediated transport.MFS superfamily.sugar transporter SP family; mapman:Solute transport.carrier-mediated transport.MFS superfamily.sugar transporter SP family.monosaccharide transporter *(STP)"	"PF00083 ('Sugar (and other) transporter-Major facilitator, sugar transporter-like', '9.1E-121', 'Pfam')"	"PTHR23500 ('SOLUTE CARRIER FAMILY 2, FACILITATED GLUCOSE TRANSPORTER-Sugar transport protein STP/Polyol transporter PLT, plant', '0.0', 'PANTHER')"	"chr05"	5072431	5078974	"PF00083 ('Sugar (and other) transporter-Major facilitator, sugar transporter-like', '9.1E-121', 'Pfam')"	"PTHR23500 ('SOLUTE CARRIER FAMILY 2, FACILITATED GLUCOSE TRANSPORTER-Sugar transport protein STP/Polyol transporter PLT, plant', '0.0', 'PANTHER')"	"TIGR00879 ('sugar porter family MFS transporter-Sugar/inositol transporter', '1.5E-114', 'NCBIfam'); G3DSA:1.20.1250.20 ('MFS general substrate transporter like domains-MFS transporter superfamily', '2.5E-130', 'Gene3D'); cd17361 ('MFS_STP-Sugar transport protein STP/MST-like, plant', '0.0', 'CDD'); G3DSA:1.20.1250.20:FF:000002 ('Sugar transport protein 13', '0.0', 'FunFam'); SSF103473 ('MFS general substrate transporter-MFS transporter superfamily', '2.75E-55', 'SUPERFAMILY'); PR00171 ('Sugar transporter signature-Sugar/inositol transporter', '5.3E-32', 'PRINTS'); PS50850 ('Major facilitator superfamily (MFS) profile.-Major facilitator superfamily domain', '43.577393', 'ProSiteProfiles'); PS00216 ('Sugar transport proteins signature 1.-Sugar transporter, conserved site', '-', 'ProSitePatterns')"
"VIT_12s0059g01720"	"Vitvi12g02388"	"Vitvi05_01chr12g07730"	"not assigned; not assigned.not annotated"	NA	""	""	"chr12"	6650536	6651452	""	""	""
"VIT_03s0038g03400"	"Vitvi03g00206"	NA	"not assigned; not assigned.annotated"	NA	"PF00182 ('Chitinase class I-Glycoside hydrolase, family 19, catalytic', '0.0', 'Pfam'); PF00187 ('Chitin recognition protein-Chitin-binding, type 1', '5.1E-9', 'Pfam')"	"PTHR22595 ('CHITINASE-RELATED', '2.9E-120', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_08s0007g01810"	"Vitvi08g01325"	"Vitvi05_01chr08g15530"	"Solute transport; Solute transport.carrier-mediated transport; Solute transport.carrier-mediated transport.MFS superfamily; Solute transport.carrier-mediated transport.MFS superfamily.phosphate transporter (PHT4)"	"mapman:Solute transport; mapman:Solute transport.carrier-mediated transport; mapman:Solute transport.carrier-mediated transport.MFS superfamily; mapman:Solute transport.carrier-mediated transport.MFS superfamily.phosphate transporter *(PHT4)"	"PF07690 ('Major Facilitator Superfamily-Major facilitator superfamily', '2.0E-46', 'Pfam')"	"PTHR11662 ('SOLUTE CARRIER FAMILY 17-Major Facilitator Superfamily Sodium/Anion Cotransporter', '9.2E-122', 'PANTHER')"	"chr08"	17056163	17060538	"PF07690 ('Major Facilitator Superfamily-Major facilitator superfamily', '2.0E-46', 'Pfam')"	"PTHR11662 ('SOLUTE CARRIER FAMILY 17-Major Facilitator Superfamily Sodium/Anion Cotransporter', '9.2E-122', 'PANTHER')"	"G3DSA:1.20.1250.20 ('MFS general substrate transporter like domains-MFS transporter superfamily', '6.2E-14', 'Gene3D'); G3DSA:1.20.1250.20:FF:000142 ('probable anion transporter 3, chloroplastic', '2.2E-106', 'FunFam'); G3DSA:1.20.1250.20:FF:000131 ('Probable anion transporter 3, chloroplastic', '6.6E-100', 'FunFam'); cd17380 ('MFS_SLC17A9_like-Solute carrier family 17 member 9-like', '0.0', 'CDD'); SSF103473 ('MFS general substrate transporter-MFS transporter superfamily', '1.7E-69', 'SUPERFAMILY'); PS50850 ('Major facilitator superfamily (MFS) profile.-Major facilitator superfamily domain', '24.627516', 'ProSiteProfiles'); G3DSA:1.20.1250.20 ('MFS general substrate transporter like domains-MFS transporter superfamily', '1.2E-38', 'Gene3D')"
"VIT_06s0004g01020"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"VIT_11s0065g00350"	"Vitvi11g00924"	"Vitvi05_01chr11g12900"	"Enzyme classification; Enzyme classification.EC_1 oxidoreductases; Enzyme classification.EC_1 oxidoreductases.EC_1.14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_1 oxidoreductases; mapman:Enzyme classification.EC_1 oxidoreductases.EC_1-14 oxidoreductase acting on paired donor with incorporation or reduction of molecular oxygen"	"PF00067 ('Cytochrome P450-Cytochrome P450', '6.3E-110', 'Pfam')"	"PTHR47948 ('TRANS-CINNAMATE 4-MONOOXYGENASE', '0.0', 'PANTHER')"	"chr11"	12312556	12314275	"PF00067 ('Cytochrome P450-Cytochrome P450', '6.3E-110', 'Pfam')"	"PTHR47948 ('TRANS-CINNAMATE 4-MONOOXYGENASE', '0.0', 'PANTHER')"	"G3DSA:1.10.630.10:FF:000013 ('Trans-cinnamate 4-monooxygenase', '0.0', 'FunFam'); PS00086 ('Cytochrome P450 cysteine heme-iron ligand signature.-Cytochrome P450, conserved site', '-', 'ProSitePatterns'); G3DSA:1.10.630.10 ('Cytochrome P450-Cytochrome P450 superfamily', '7.2E-115', 'Gene3D'); PR00463 ('E-class P450 group I signature-Cytochrome P450, E-class, group I', '1.7E-52', 'PRINTS'); PR00385 ('P450 superfamily signature-Cytochrome P450', '7.4E-8', 'PRINTS'); SSF48264 ('Cytochrome P450-Cytochrome P450 superfamily', '5.24E-113', 'SUPERFAMILY')"
"VIT_12s0028g00920"	"Vitvi12g00080"	"Vitvi05_01chr12g01430"	NA	"mapman:Redox homeostasis; mapman:Redox homeostasis.glutathione-based redox regulation; mapman:Redox homeostasis.glutathione-based redox regulation.glutathione S-transferase activities; mapman:Redox homeostasis.glutathione-based redox regulation.glutathione S-transferase activities.class phi glutathione S-transferase; mapman:Clade-specific metabolism; mapman:Clade-specific metabolism.Brassicaceae; mapman:Clade-specific metabolism.Brassicaceae.glucosinolate biosynthesis; mapman:Clade-specific metabolism.Brassicaceae.glucosinolate biosynthesis.benzenic and indolic core structure; mapman:Clade-specific metabolism.Brassicaceae.glucosinolate biosynthesis.benzenic and indolic core structure.glutathione S-transferase; mapman:Secondary metabolism; mapman:Secondary metabolism.phenolics; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.anthocyanidins; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.anthocyanidins.anthocyanin glutathione S-transferase *(TT19)"	"PF00043 ('Glutathione S-transferase, C-terminal domain-Glutathione S-transferase, C-terminal', '7.1E-14', 'Pfam'); PF02798 ('Glutathione S-transferase, N-terminal domain-Glutathione S-transferase, N-terminal', '2.1E-12', 'Pfam')"	"PTHR43900 ('GLUTATHIONE S-TRANSFERASE RHO', '1.2E-99', 'PANTHER')"	"chr12"	1457342	1459468	"PF00043 ('Glutathione S-transferase, C-terminal domain-Glutathione S-transferase, C-terminal', '7.1E-14', 'Pfam'); PF02798 ('Glutathione S-transferase, N-terminal domain-Glutathione S-transferase, N-terminal', '2.1E-12', 'Pfam')"	"PTHR43900 ('GLUTATHIONE S-TRANSFERASE RHO', '1.2E-99', 'PANTHER')"	"PS50405 ('Soluble glutathione S-transferase C-terminal domain profile.-Glutathione S-transferase, C-terminal-like', '24.000841', 'ProSiteProfiles'); G3DSA:1.20.1050.10:FF:000004 ('Glutathione S-transferase F2', '1.9E-51', 'FunFam'); G3DSA:3.40.30.10:FF:000016 ('Glutathione S-transferase F2', '3.6E-36', 'FunFam'); SSF52833 ('Thioredoxin-like-Thioredoxin-like superfamily', '1.28E-20', 'SUPERFAMILY'); PS50404 ('Soluble glutathione S-transferase N-terminal domain profile.-Glutathione S-transferase, N-terminal', '19.343365', 'ProSiteProfiles'); cd03187 ('GST_C_Phi-Glutathione S-transferases Phi, C-terminal', '5.66196E-64', 'CDD'); cd03053 ('GST_N_Phi', '1.48201E-36', 'CDD'); SSF47616 ('GST C-terminal domain-like-Glutathione S-transferase, C-terminal domain superfamily', '1.31E-33', 'SUPERFAMILY'); SFLDG00358 ('Main (cytGST)', '0.0', 'SFLD'); G3DSA:1.20.1050.10 ('-', '1.4E-51', 'Gene3D'); SFLDS00019 ('Glutathione Transferase (cytosolic)-Glutathione transferase family', '0.0', 'SFLD'); G3DSA:3.40.30.10 ('Glutaredoxin', '6.3E-30', 'Gene3D')"
"VIT_12s0059g00310"	"Vitvi12g02337"	"Vitvi05_01chr12g05920"	"not assigned; not assigned.not annotated"	"mapman:Multi-process regulation; mapman:Multi-process regulation.calcium-dependent signalling; mapman:Multi-process regulation.calcium-dependent signalling.SnRK2-interacting calcium sensor activities; mapman:Multi-process regulation.calcium-dependent signalling.SnRK2-interacting calcium sensor activities.SRC1-clade calcium sensor; mapman:Multi-process regulation.calcium-dependent signalling.SnRK2-interacting calcium sensor activities.SRC2-clade calcium sensor"	"PF13499 ('EF-hand domain pair-EF-hand domain', '5.1E-9', 'Pfam')"	"PTHR34574 ('CALCIUM-BINDING EF-HAND FAMILY PROTEIN-RELATED', '6.2E-39', 'PANTHER')"	"chr12"	5224938	5225567	"PF13499 ('EF-hand domain pair-EF-hand domain', '5.1E-9', 'Pfam')"	"PTHR34574 ('CALCIUM-BINDING EF-HAND FAMILY PROTEIN-RELATED', '6.2E-39', 'PANTHER')"	"SM00054 ('efh_1-EF-hand domain', '6.7', 'SMART'); G3DSA:1.10.238.10 ('-', '1.6E-11', 'Gene3D'); SM00054 ('efh_1-EF-hand domain', '1.4', 'SMART'); PS00018 ('EF-hand calcium-binding domain.-EF-Hand 1, calcium-binding site', '-', 'ProSitePatterns'); PS50222 ('EF-hand calcium-binding domain profile.-EF-hand domain', '8.822743', 'ProSiteProfiles'); SSF47473 ('EF-hand-EF-hand domain pair', '1.32E-10', 'SUPERFAMILY')"
"VIT_16s0039g01100"	"Vitvi16g00054"	NA	"Secondary metabolism; Secondary metabolism.phenolics; Secondary metabolism.phenolics.p-coumaroyl-CoA biosynthesis; Secondary metabolism.phenolics.p-coumaroyl-CoA biosynthesis.phenylalanine ammonia lyase activity; Secondary metabolism.phenolics.p-coumaroyl-CoA biosynthesis.phenylalanine ammonia lyase activity.phenylalanine ammonia lyase (PAL)"	NA	"PF00221 ('Aromatic amino acid lyase-Aromatic amino acid lyase', '0.0', 'Pfam')"	"PTHR10362 ('HISTIDINE AMMONIA-LYASE-Aromatic amino acid lyase', '0.0', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_16s0100g01010"	"Vitvi16g01470"	"Vitvi05_01chr16g14240"	"Secondary metabolism; Secondary metabolism.phenolics; Secondary metabolism.phenolics.stilbenoid biosynthesis"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-3 acyltransferase; mapman:Secondary metabolism; mapman:Secondary metabolism.phenolics; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity.chalcone synthase *(CHS)"	"PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '2.7E-122', 'Pfam'); PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '1.5E-71', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"chr16"	21258153	21259965	"PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '2.7E-122', 'Pfam'); PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '1.5E-71', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"SSF53901 ('Thiolase-like-Thiolase-like', '3.17E-51', 'SUPERFAMILY'); PS00441 ('Chalcone and stilbene synthases active site.-Chalcone/stilbene synthase, active site', '-', 'ProSitePatterns'); SSF53901 ('Thiolase-like-Thiolase-like', '1.26E-76', 'SUPERFAMILY'); cd00831 ('CHS_like', '0.0', 'CDD'); G3DSA:3.40.47.10:FF:000025 ('Chalcone synthase 2', '4.3E-125', 'FunFam'); G3DSA:3.40.47.10 ('Thiolase-like', '4.8E-62', 'Gene3D'); PIRSF000451 ('PKS_III-Polyketide synthase, type III', '0.0', 'PIRSF'); G3DSA:3.40.47.10 ('Thiolase-like', '3.8E-100', 'Gene3D'); G3DSA:3.40.47.10:FF:000014 ('Chalcone synthase 1', '7.1E-68', 'FunFam')"
"VIT_16s0100g01200"	"Vitvi16g01484"	"Vitvi05_01chr16g14590"	"Secondary metabolism; Secondary metabolism.phenolics; Secondary metabolism.phenolics.stilbenoid biosynthesis"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-3 acyltransferase"	"PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '4.1E-122', 'Pfam'); PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '1.1E-71', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"chr16"	21527125	21528069	"PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '3.6E-83', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '1.3E-75', 'PANTHER')"	"G3DSA:3.40.47.10 ('Thiolase-like', '1.0E-69', 'Gene3D'); SSF53901 ('Thiolase-like-Thiolase-like', '3.72E-50', 'SUPERFAMILY'); G3DSA:3.40.47.10:FF:000025 ('Chalcone synthase 2', '1.7E-83', 'FunFam')"
"VIT_08s0007g06060"	"Vitvi08g01702"	"Vitvi05_01chr08g21110"	"Enzyme classification; Enzyme classification.EC_3 hydrolases; Enzyme classification.EC_3 hydrolases.EC_3.2 glycosylase"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_3 hydrolases; mapman:Enzyme classification.EC_3 hydrolases.EC_3-2 glycosylase"	"PF00332 ('Glycosyl hydrolases family 17-Glycoside hydrolase family 17', '5.7E-110', 'Pfam')"	"PTHR32227 ('GLUCAN ENDO-1,3-BETA-GLUCOSIDASE BG1-RELATED-RELATED-Glycoside hydrolase family 17, plant', '9.9E-126', 'PANTHER')"	"chr08"	21087458	21090063	"PF00332 ('Glycosyl hydrolases family 17-Glycoside hydrolase family 17', '5.7E-110', 'Pfam')"	"PTHR32227 ('GLUCAN ENDO-1,3-BETA-GLUCOSIDASE BG1-RELATED-RELATED-Glycoside hydrolase family 17, plant', '9.9E-126', 'PANTHER')"	"SSF51445 ('(Trans)glycosidases-Glycoside hydrolase superfamily', '1.54E-97', 'SUPERFAMILY'); G3DSA:3.20.20.80:FF:000010 ('glucan endo-1,3-beta-glucosidase, basic', '0.0', 'FunFam'); PS00587 ('Glycosyl hydrolases family 17 signature.-Glycoside hydrolase family 17', '-', 'ProSitePatterns'); G3DSA:3.20.20.80 ('Glycosidases', '0.0', 'Gene3D')"
"VIT_05s0077g01550"	"Vitvi05g01759"	NA	"not assigned; not assigned.annotated"	NA	"PF00407 ('Pathogenesis-related protein Bet v 1 family-Bet v I/Major latex protein', '4.3E-21', 'Pfam')"	"PTHR31213 ('OS03G0300400 PROTEIN-RELATED-Plant defense and hormone signaling protein', '1.5E-63', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_05s0020g05000"	"Vitvi05g01910"	NA	"not assigned; not assigned.annotated"	NA	"PF00280 ('Potato inhibitor I family-Proteinase inhibitor I13, potato inhibitor I', '7.8E-24', 'Pfam')"	"PTHR33091 ('PROTEIN, PUTATIVE, EXPRESSED-RELATED-Proteinase inhibitor I13, potato inhibitor I', '5.4E-22', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_02s0025g04250"	"Vitvi02g00393"	NA	"not assigned; not assigned.annotated"	NA	"PF00314 ('Thaumatin family-Thaumatin family', '3.6E-58', 'Pfam')"	"PTHR31048 ('OS03G0233200 PROTEIN-Thaumatin family', '3.9E-85', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_03s0088g00710"	"Vitvi03g01651"	"Vitvi05_01chr03g11580"	"not assigned; not assigned.annotated"	"mapman:Phytohormone action; mapman:Phytohormone action.signalling peptides; mapman:Phytohormone action.signalling peptides.NCRP (non-cysteine-rich-peptide) category; mapman:Phytohormone action.signalling peptides.NCRP (non-cysteine-rich-peptide) category.CAPE-peptide activity; mapman:Phytohormone action.signalling peptides.NCRP (non-cysteine-rich-peptide) category.CAPE-peptide activity.CAPE precursor polypeptide"	"PF00188 ('Cysteine-rich secretory protein family-CAP domain', '2.2E-16', 'Pfam')"	"PTHR10334 ('CYSTEINE-RICH SECRETORY PROTEIN-RELATED-Cysteine-rich secretory protein-related', '4.5E-39', 'PANTHER')"	"chr03"	8941581	8942732	"PF00188 ('Cysteine-rich secretory protein family-CAP domain', '2.2E-16', 'Pfam')"	"PTHR10334 ('CYSTEINE-RICH SECRETORY PROTEIN-RELATED-Cysteine-rich secretory protein-related', '4.5E-39', 'PANTHER')"	"SSF55797 ('PR-1-like-CAP superfamily', '2.22E-50', 'SUPERFAMILY'); G3DSA:3.40.33.10 ('CAP-CAP superfamily', '2.7E-46', 'Gene3D'); PR00837 ('Allergen V5/Tpx-1 family signature-Cysteine-rich secretory protein-related', '5.1E-20', 'PRINTS'); PS01010 ('CRISP family signature 2.-Allergen V5/Tpx-1-related, conserved site', '-', 'ProSitePatterns'); SM00198 ('SCP_3-CAP domain', '4.9E-65', 'SMART'); PS01009 ('CRISP family signature 1.-Allergen V5/Tpx-1-related, conserved site', '-', 'ProSitePatterns'); PR00838 ('Venom allergen 5 signature-Venom allergen 5-like', '8.4E-5', 'PRINTS'); G3DSA:3.40.33.10:FF:000006 ('Putative pathogenesis-related protein 1', '9.0E-73', 'FunFam'); cd05381 ('CAP_PR-1', '4.51147E-84', 'CDD')"
